  1 -13.498578 0.00000   4.676359 0.00000
  2 -13.497228 0.00000   4.677709 0.00000
  3 -13.495878 0.00000   4.679059 0.00000
  4 -13.494528 0.00000   4.680409 0.00000
  5 -13.493178 0.00000   4.681759 0.00000
  6 -13.491828 0.00000   4.683109 0.00000
  7 -13.490478 0.00000   4.684459 0.00000
  8 -13.489128 0.00000   4.685809 0.00000
  9 -13.487778 0.00000   4.687159 0.00000
 10 -13.486428 0.00000   4.688509 0.00000
 11 -13.485078 0.00000   4.689859 0.00000
 12 -13.483728 0.00000   4.691209 0.00000
 13 -13.482378 0.00000   4.692559 0.00000
 14 -13.481028 0.00000   4.693909 0.00000
 15 -13.479678 0.00000   4.695259 0.00000
 16 -13.478328 0.00000   4.696609 0.00000
 17 -13.476978 0.00000   4.697959 0.00000
 18 -13.475628 0.00000   4.699309 0.00000
 19 -13.474278 0.00000   4.700659 0.00000
 20 -13.472928 0.00000   4.702009 0.00000
 21 -13.471578 0.00000   4.703359 0.00000
 22 -13.470228 0.00000   4.704709 0.00000
 23 -13.468878 0.00000   4.706059 0.00000
 24 -13.467528 0.00000   4.707409 0.00000
 25 -13.466178 0.00012   4.708759 0.00203
 26 -13.464828 0.00032   4.710109 0.01263
 27 -13.463478 0.00161   4.711459 0.04040
 28 -13.462128 0.00330   4.712809 0.07438
 29 -13.460778 0.00677   4.714159 0.12008
 30 -13.459428 0.01086   4.715509 0.16406
 31 -13.458078 0.01929   4.716859 0.22936
 32 -13.456728 0.02846   4.718209 0.30079
 33 -13.455378 0.05372   4.719559 0.38486
 34 -13.454028 0.12373   4.720909 0.47440
 35 -13.452678 0.20726   4.722259 0.57688
 36 -13.451328 0.31740   4.723609 0.65520
 37 -13.449978 0.44157   4.724959 0.73316
 38 -13.448628 0.54525   4.726309 0.78144
 39 -13.447278 0.63590   4.727659 0.83122
 40 -13.445928 0.71251   4.729009 0.86651
 41 -13.444578 0.77332   4.730359 0.90499
 42 -13.443228 0.83952   4.731709 0.93517
 43 -13.441878 0.86482   4.733059 0.95441
 44 -13.440528 0.90478   4.734409 0.97410
 45 -13.439178 0.93322   4.735759 0.97801
 46 -13.437828 0.96298   4.737109 0.98995
 47 -13.436478 0.96142   4.738459 0.99750
 48 -13.435128 0.98795   4.739809 1.00000
 49 -13.433778 0.98873   4.741159 0.99059
 50 -13.432428 1.00000   4.742509 0.99037
 51 -13.431078 0.98604   4.743859 0.99389
 52 -13.429728 0.98780   4.745209 0.98420
 53 -13.428378 0.97995   4.746559 0.96032
 54 -13.427028 0.97396   4.747909 0.94636
 55 -13.425678 0.94192   4.749259 0.91002
 56 -13.424328 0.92483   4.750609 0.90727
 57 -13.422978 0.89317   4.751959 0.86765
 58 -13.421628 0.86336   4.753309 0.82128
 59 -13.420278 0.81210   4.754659 0.76670
 60 -13.418928 0.76291   4.756009 0.69407
 61 -13.417578 0.69507   4.757359 0.62855
 62 -13.416228 0.62602   4.758709 0.55028
 63 -13.414878 0.53584   4.760059 0.47315
 64 -13.413528 0.41978   4.761409 0.39747
 65 -13.412178 0.31021   4.762759 0.31265
 66 -13.410828 0.20240   4.764109 0.23719
 67 -13.409478 0.10884   4.765459 0.16061
 68 -13.408128 0.05431   4.766809 0.09045
 69 -13.406778 0.01247   4.768159 0.04378
 70 -13.405428 0.00000   4.769509 0.01260
 71 -13.404078 0.00000   4.770859 0.00075
 72 -13.402728 0.00000   4.772209 0.00003
 73 -13.401378 0.00000   4.773559 0.00000
 74 -13.400028 0.00000   4.774909 0.00000
 75 -13.398678 0.00000   4.776259 0.00000
 76 -13.397328 0.00000   4.777609 0.00000
 77 -13.395978 0.00000   4.778959 0.00000
 78 -13.394628 0.00000   4.780309 0.00000
 79 -13.393278 0.00000   4.781659 0.00000
 80 -13.391928 0.00000   4.783009 0.00000
 81 -13.390578 0.00000   4.784359 0.00000
 82 -13.389228 0.00000   4.785709 0.00000
 83 -13.387878 0.00000   4.787059 0.00000
 84 -13.386528 0.00000   4.788409 0.00000
 85 -13.385178 0.00000   4.789759 0.00000
 86 -13.383828 0.00000   4.791109 0.00000
 87 -13.382478 0.00000   4.792459 0.00000
 88 -13.381128 0.00000   4.793809 0.00000
 89 -13.379778 0.00000   4.795159 0.00000
 90 -13.378428 0.00000   4.796509 0.00000
 91 -13.377078 0.00000   4.797859 0.00000
 92 -13.375728 0.00000   4.799209 0.00000
 93 -13.374378 0.00000   4.800559 0.00000
 94 -13.373028 0.00000   4.801909 0.00000
 95 -13.371678 0.00000   4.803259 0.00000
 96 -13.370328 0.00000   4.804609 0.00000
 97 -13.368978 0.00000   4.805959 0.00000
 98 -13.367628 0.00000   4.807309 0.00000
 99 -13.366278 0.00000   4.808659 0.00000
100 -13.364928 0.00000   4.810009 0.00000
