  1 -11.552302 0.00000   3.717628 0.00000
  2 -11.550952 0.00000   3.718978 0.00000
  3 -11.549602 0.00000   3.720328 0.00000
  4 -11.548252 0.00000   3.721678 0.00000
  5 -11.546902 0.00000   3.723028 0.00000
  6 -11.545552 0.00000   3.724378 0.00000
  7 -11.544202 0.00000   3.725728 0.00000
  8 -11.542852 0.00000   3.727078 0.00000
  9 -11.541502 0.00000   3.728428 0.00000
 10 -11.540152 0.00000   3.729778 0.00000
 11 -11.538802 0.00000   3.731128 0.00000
 12 -11.537452 0.00000   3.732478 0.00000
 13 -11.536102 0.00000   3.733828 0.00000
 14 -11.534752 0.00000   3.735178 0.00000
 15 -11.533402 0.00000   3.736528 0.00000
 16 -11.532052 0.00000   3.737878 0.00000
 17 -11.530702 0.00000   3.739228 0.00000
 18 -11.529352 0.00000   3.740578 0.00000
 19 -11.528002 0.00000   3.741928 0.00000
 20 -11.526652 0.00000   3.743278 0.00000
 21 -11.525302 0.00000   3.744628 0.00000
 22 -11.523952 0.00000   3.745978 0.00000
 23 -11.522602 0.00000   3.747328 0.00000
 24 -11.521252 0.00000   3.748678 0.00000
 25 -11.519902 0.00000   3.750028 0.00000
 26 -11.518552 0.00020   3.751378 0.00000
 27 -11.517202 0.00087   3.752728 0.00052
 28 -11.515852 0.00251   3.754078 0.01430
 29 -11.514502 0.00551   3.755428 0.04987
 30 -11.513152 0.00973   3.756778 0.09630
 31 -11.511802 0.01823   3.758128 0.16362
 32 -11.510452 0.02841   3.759478 0.26196
 33 -11.509102 0.07050   3.760828 0.37457
 34 -11.507752 0.14640   3.762178 0.47625
 35 -11.506402 0.23870   3.763528 0.57442
 36 -11.505052 0.36616   3.764878 0.66276
 37 -11.503702 0.47971   3.766228 0.72885
 38 -11.502352 0.58835   3.767578 0.78308
 39 -11.501002 0.67576   3.768928 0.83407
 40 -11.499652 0.75007   3.770278 0.85885
 41 -11.498302 0.80508   3.771628 0.89947
 42 -11.496952 0.84940   3.772978 0.92110
 43 -11.495602 0.88357   3.774328 0.93880
 44 -11.494252 0.91411   3.775678 0.95842
 45 -11.492902 0.93998   3.777028 0.97739
 46 -11.491552 0.96017   3.778378 0.98383
 47 -11.490202 0.98292   3.779728 0.99092
 48 -11.488852 0.99109   3.781078 1.00000
 49 -11.487502 0.99628   3.782428 0.99325
 50 -11.486152 1.00000   3.783778 0.98982
 51 -11.484802 0.99173   3.785128 0.99029
 52 -11.483452 0.99161   3.786478 0.97253
 53 -11.482102 0.97636   3.787828 0.96117
 54 -11.480752 0.97423   3.789178 0.95132
 55 -11.479402 0.95496   3.790528 0.91764
 56 -11.478052 0.92141   3.791878 0.90866
 57 -11.476702 0.89616   3.793228 0.87529
 58 -11.475352 0.86524   3.794578 0.84313
 59 -11.474002 0.81054   3.795928 0.79974
 60 -11.472652 0.76617   3.797278 0.74279
 61 -11.471302 0.69944   3.798628 0.68357
 62 -11.469952 0.62982   3.799978 0.59799
 63 -11.468602 0.53228   3.801328 0.50465
 64 -11.467252 0.42223   3.802678 0.41719
 65 -11.465902 0.30664   3.804028 0.30979
 66 -11.464552 0.19803   3.805378 0.20493
 67 -11.463202 0.10451   3.806728 0.11628
 68 -11.461852 0.04661   3.808078 0.05656
 69 -11.460502 0.00613   3.809428 0.01998
 70 -11.459152 0.00000   3.810778 0.00187
 71 -11.457802 0.00000   3.812128 0.00000
 72 -11.456452 0.00000   3.813478 0.00000
 73 -11.455102 0.00000   3.814828 0.00000
 74 -11.453752 0.00000   3.816178 0.00000
 75 -11.452402 0.00000   3.817528 0.00000
 76 -11.451052 0.00000   3.818878 0.00000
 77 -11.449702 0.00000   3.820228 0.00000
 78 -11.448352 0.00000   3.821578 0.00000
 79 -11.447002 0.00000   3.822928 0.00000
 80 -11.445652 0.00000   3.824278 0.00000
 81 -11.444302 0.00000   3.825628 0.00000
 82 -11.442952 0.00000   3.826978 0.00000
 83 -11.441602 0.00000   3.828328 0.00000
 84 -11.440252 0.00000   3.829678 0.00000
 85 -11.438902 0.00000   3.831028 0.00000
 86 -11.437552 0.00000   3.832378 0.00000
 87 -11.436202 0.00000   3.833728 0.00000
 88 -11.434852 0.00000   3.835078 0.00000
 89 -11.433502 0.00000   3.836428 0.00000
 90 -11.432152 0.00000   3.837778 0.00000
 91 -11.430802 0.00000   3.839128 0.00000
 92 -11.429452 0.00000   3.840478 0.00000
 93 -11.428102 0.00000   3.841828 0.00000
 94 -11.426752 0.00000   3.843178 0.00000
 95 -11.425402 0.00000   3.844528 0.00000
 96 -11.424052 0.00000   3.845878 0.00000
 97 -11.422702 0.00000   3.847228 0.00000
 98 -11.421352 0.00000   3.848578 0.00000
 99 -11.420002 0.00000   3.849928 0.00000
100 -11.418652 0.00000   3.851278 0.00000
