  1 -10.568208 0.00000  -6.803791 0.00000
  2 -10.566858 0.00000  -6.802441 0.00000
  3 -10.565508 0.00000  -6.801091 0.00000
  4 -10.564158 0.00000  -6.799741 0.00000
  5 -10.562808 0.00000  -6.798391 0.00000
  6 -10.561458 0.00000  -6.797041 0.00000
  7 -10.560108 0.00000  -6.795691 0.00000
  8 -10.558758 0.00000  -6.794341 0.00000
  9 -10.557408 0.00000  -6.792991 0.00000
 10 -10.556058 0.00000  -6.791641 0.00000
 11 -10.554708 0.00000  -6.790291 0.00000
 12 -10.553358 0.00000  -6.788941 0.00000
 13 -10.552008 0.00000  -6.787591 0.00000
 14 -10.550658 0.00000  -6.786241 0.00000
 15 -10.549308 0.00000  -6.784891 0.00000
 16 -10.547958 0.00000  -6.783541 0.00000
 17 -10.546608 0.00000  -6.782191 0.00000
 18 -10.545258 0.00000  -6.780841 0.00000
 19 -10.543908 0.00000  -6.779491 0.00000
 20 -10.542558 0.00000  -6.778141 0.00000
 21 -10.541208 0.00000  -6.776791 0.00000
 22 -10.539858 0.00000  -6.775441 0.00000
 23 -10.538508 0.00000  -6.774091 0.00000
 24 -10.537158 0.00000  -6.772741 0.00000
 25 -10.535808 0.00000  -6.771391 0.00000
 26 -10.534458 0.00000  -6.770041 0.00000
 27 -10.533108 0.00017  -6.768691 0.00000
 28 -10.531758 0.00087  -6.767341 0.00017
 29 -10.530408 0.00234  -6.765991 0.00326
 30 -10.529058 0.00544  -6.764641 0.01196
 31 -10.527708 0.00882  -6.763291 0.03205
 32 -10.526358 0.01533  -6.761941 0.07159
 33 -10.525008 0.03442  -6.760591 0.18966
 34 -10.523658 0.08631  -6.759241 0.33765
 35 -10.522308 0.23873  -6.757891 0.47047
 36 -10.520958 0.41079  -6.756541 0.57557
 37 -10.519608 0.55009  -6.755191 0.66101
 38 -10.518258 0.63640  -6.753841 0.71403
 39 -10.516908 0.71111  -6.752491 0.77141
 40 -10.515558 0.76730  -6.751141 0.81247
 41 -10.514208 0.81602  -6.749791 0.86173
 42 -10.512858 0.86582  -6.748441 0.88662
 43 -10.511508 0.89192  -6.747091 0.91642
 44 -10.510158 0.93138  -6.745741 0.94813
 45 -10.508808 0.94033  -6.744391 0.95026
 46 -10.507458 0.96568  -6.743041 0.97102
 47 -10.506108 0.97366  -6.741691 0.97051
 48 -10.504758 0.99202  -6.740341 0.99071
 49 -10.503408 0.99366  -6.738991 0.99172
 50 -10.502058 0.99826  -6.737641 0.99146
 51 -10.500708 1.00000  -6.736291 1.00000
 52 -10.499358 0.99128  -6.734941 0.99399
 53 -10.498008 0.97482  -6.733591 0.98228
 54 -10.496658 0.96871  -6.732241 0.97916
 55 -10.495308 0.94105  -6.730891 0.96458
 56 -10.493958 0.92798  -6.729541 0.95242
 57 -10.492608 0.89087  -6.728191 0.92546
 58 -10.491258 0.86237  -6.726841 0.90341
 59 -10.489908 0.80553  -6.725491 0.87614
 60 -10.488558 0.75885  -6.724141 0.84677
 61 -10.487208 0.70000  -6.722791 0.80149
 62 -10.485858 0.62174  -6.721441 0.75178
 63 -10.484508 0.53823  -6.720091 0.70150
 64 -10.483158 0.42965  -6.718741 0.62907
 65 -10.481808 0.29428  -6.717391 0.53801
 66 -10.480458 0.12389  -6.716041 0.43862
 67 -10.479108 0.03840  -6.714691 0.30765
 68 -10.477758 0.00415  -6.713341 0.14386
 69 -10.476408 0.00000  -6.711991 0.04893
 70 -10.475058 0.00000  -6.710641 0.00820
 71 -10.473708 0.00000  -6.709291 0.00000
 72 -10.472358 0.00000  -6.707941 0.00000
 73 -10.471008 0.00000  -6.706591 0.00000
 74 -10.469658 0.00000  -6.705241 0.00000
 75 -10.468308 0.00000  -6.703891 0.00000
 76 -10.466958 0.00000  -6.702541 0.00000
 77 -10.465608 0.00000  -6.701191 0.00000
 78 -10.464258 0.00000  -6.699841 0.00000
 79 -10.462908 0.00000  -6.698491 0.00000
 80 -10.461558 0.00000  -6.697141 0.00000
 81 -10.460208 0.00000  -6.695791 0.00000
 82 -10.458858 0.00000  -6.694441 0.00000
 83 -10.457508 0.00000  -6.693091 0.00000
 84 -10.456158 0.00000  -6.691741 0.00000
 85 -10.454808 0.00000  -6.690391 0.00000
 86 -10.453458 0.00000  -6.689041 0.00000
 87 -10.452108 0.00000  -6.687691 0.00000
 88 -10.450758 0.00000  -6.686341 0.00000
 89 -10.449408 0.00000  -6.684991 0.00000
 90 -10.448058 0.00000  -6.683641 0.00000
 91 -10.446708 0.00000  -6.682291 0.00000
 92 -10.445358 0.00000  -6.680941 0.00000
 93 -10.444008 0.00000  -6.679591 0.00000
 94 -10.442658 0.00000  -6.678241 0.00000
 95 -10.441308 0.00000  -6.676891 0.00000
 96 -10.439958 0.00000  -6.675541 0.00000
 97 -10.438608 0.00000  -6.674191 0.00000
 98 -10.437258 0.00000  -6.672841 0.00000
 99 -10.435908 0.00000  -6.671491 0.00000
100 -10.434558 0.00000  -6.670141 0.00000
