  1 -12.526226 0.00000  -4.191999 0.00000
  2 -12.524876 0.00000  -4.190649 0.00000
  3 -12.523526 0.00000  -4.189299 0.00000
  4 -12.522176 0.00000  -4.187949 0.00000
  5 -12.520826 0.00000  -4.186599 0.00000
  6 -12.519476 0.00000  -4.185249 0.00000
  7 -12.518126 0.00000  -4.183899 0.00000
  8 -12.516776 0.00000  -4.182549 0.00000
  9 -12.515426 0.00000  -4.181199 0.00000
 10 -12.514076 0.00000  -4.179849 0.00000
 11 -12.512726 0.00000  -4.178499 0.00000
 12 -12.511376 0.00000  -4.177149 0.00000
 13 -12.510026 0.00000  -4.175799 0.00000
 14 -12.508676 0.00000  -4.174449 0.00000
 15 -12.507326 0.00000  -4.173099 0.00000
 16 -12.505976 0.00000  -4.171749 0.00000
 17 -12.504626 0.00000  -4.170399 0.00000
 18 -12.503276 0.00000  -4.169049 0.00000
 19 -12.501926 0.00000  -4.167699 0.00000
 20 -12.500576 0.00000  -4.166349 0.00000
 21 -12.499226 0.00000  -4.164999 0.00000
 22 -12.497876 0.00000  -4.163649 0.00000
 23 -12.496526 0.00000  -4.162299 0.00000
 24 -12.495176 0.00000  -4.160949 0.00000
 25 -12.493826 0.00000  -4.159599 0.00000
 26 -12.492476 0.00051  -4.158249 0.00000
 27 -12.491126 0.00186  -4.156899 0.00000
 28 -12.489776 0.00366  -4.155549 0.00000
 29 -12.488426 0.00554  -4.154199 0.00003
 30 -12.487076 0.01006  -4.152849 0.00420
 31 -12.485726 0.01446  -4.151499 0.05035
 32 -12.484376 0.02169  -4.150149 0.13506
 33 -12.483026 0.03911  -4.148799 0.23816
 34 -12.481676 0.09206  -4.147449 0.37156
 35 -12.480326 0.21610  -4.146099 0.49638
 36 -12.478976 0.36164  -4.144749 0.59592
 37 -12.477626 0.49633  -4.143399 0.67369
 38 -12.476276 0.60158  -4.142049 0.73823
 39 -12.474926 0.68324  -4.140699 0.78060
 40 -12.473576 0.75842  -4.139349 0.83545
 41 -12.472226 0.80735  -4.137999 0.87222
 42 -12.470876 0.84523  -4.136649 0.90292
 43 -12.469526 0.88388  -4.135299 0.91521
 44 -12.468176 0.91272  -4.133949 0.94221
 45 -12.466826 0.93845  -4.132599 0.96320
 46 -12.465476 0.95652  -4.131249 0.97428
 47 -12.464126 0.97237  -4.129899 0.97694
 48 -12.462776 0.98119  -4.128549 0.99063
 49 -12.461426 1.00000  -4.127199 0.99866
 50 -12.460076 0.99250  -4.125849 1.00000
 51 -12.458726 0.99353  -4.124499 0.99790
 52 -12.457376 0.97684  -4.123149 0.99004
 53 -12.456026 0.97885  -4.121799 0.98486
 54 -12.454676 0.95615  -4.120449 0.97655
 55 -12.453326 0.93933  -4.119099 0.95920
 56 -12.451976 0.91092  -4.117749 0.94963
 57 -12.450626 0.88258  -4.116399 0.93284
 58 -12.449276 0.83847  -4.115049 0.89646
 59 -12.447926 0.80833  -4.113699 0.85529
 60 -12.446576 0.74601  -4.112349 0.82792
 61 -12.445226 0.68211  -4.110999 0.78130
 62 -12.443876 0.60654  -4.109649 0.72493
 63 -12.442526 0.52625  -4.108299 0.67011
 64 -12.441176 0.40800  -4.106949 0.59388
 65 -12.439826 0.26051  -4.105599 0.48258
 66 -12.438476 0.13606  -4.104249 0.35228
 67 -12.437126 0.05537  -4.102899 0.23441
 68 -12.435776 0.01419  -4.101549 0.12711
 69 -12.434426 0.00024  -4.100199 0.04799
 70 -12.433076 0.00000  -4.098849 0.01290
 71 -12.431726 0.00000  -4.097499 0.00389
 72 -12.430376 0.00000  -4.096149 0.00140
 73 -12.429026 0.00000  -4.094799 0.00020
 74 -12.427676 0.00000  -4.093449 0.00000
 75 -12.426326 0.00000  -4.092099 0.00000
 76 -12.424976 0.00000  -4.090749 0.00000
 77 -12.423626 0.00000  -4.089399 0.00000
 78 -12.422276 0.00000  -4.088049 0.00000
 79 -12.420926 0.00000  -4.086699 0.00000
 80 -12.419576 0.00000  -4.085349 0.00000
 81 -12.418226 0.00000  -4.083999 0.00000
 82 -12.416876 0.00000  -4.082649 0.00000
 83 -12.415526 0.00000  -4.081299 0.00000
 84 -12.414176 0.00000  -4.079949 0.00000
 85 -12.412826 0.00000  -4.078599 0.00000
 86 -12.411476 0.00000  -4.077249 0.00000
 87 -12.410126 0.00000  -4.075899 0.00000
 88 -12.408776 0.00000  -4.074549 0.00000
 89 -12.407426 0.00000  -4.073199 0.00000
 90 -12.406076 0.00000  -4.071849 0.00000
 91 -12.404726 0.00000  -4.070499 0.00000
 92 -12.403376 0.00000  -4.069149 0.00000
 93 -12.402026 0.00000  -4.067799 0.00000
 94 -12.400676 0.00000  -4.066449 0.00000
 95 -12.399326 0.00000  -4.065099 0.00000
 96 -12.397976 0.00000  -4.063749 0.00000
 97 -12.396626 0.00000  -4.062399 0.00000
 98 -12.395276 0.00000  -4.061049 0.00000
 99 -12.393926 0.00000  -4.059699 0.00000
100 -12.392576 0.00000  -4.058349 0.00000
