  1 -11.062395 0.00000   4.797902 0.00000
  2 -11.061045 0.00000   4.799252 0.00000
  3 -11.059695 0.00000   4.800602 0.00000
  4 -11.058345 0.00000   4.801952 0.00000
  5 -11.056995 0.00000   4.803302 0.00000
  6 -11.055645 0.00000   4.804652 0.00000
  7 -11.054295 0.00000   4.806002 0.00000
  8 -11.052945 0.00000   4.807352 0.00000
  9 -11.051595 0.00000   4.808702 0.00000
 10 -11.050245 0.00000   4.810052 0.00000
 11 -11.048895 0.00000   4.811402 0.00000
 12 -11.047545 0.00000   4.812752 0.00000
 13 -11.046195 0.00000   4.814102 0.00000
 14 -11.044845 0.00000   4.815452 0.00000
 15 -11.043495 0.00000   4.816802 0.00000
 16 -11.042145 0.00000   4.818152 0.00000
 17 -11.040795 0.00000   4.819502 0.00000
 18 -11.039445 0.00000   4.820852 0.00000
 19 -11.038095 0.00000   4.822202 0.00000
 20 -11.036745 0.00000   4.823552 0.00000
 21 -11.035395 0.00000   4.824902 0.00000
 22 -11.034045 0.00000   4.826252 0.00000
 23 -11.032695 0.00000   4.827602 0.00000
 24 -11.031345 0.00000   4.828952 0.00000
 25 -11.029995 0.00000   4.830302 0.00000
 26 -11.028645 0.00000   4.831652 0.00000
 27 -11.027295 0.00040   4.833002 0.00014
 28 -11.025945 0.00150   4.834352 0.00711
 29 -11.024595 0.00387   4.835702 0.04365
 30 -11.023245 0.00754   4.837052 0.09689
 31 -11.021895 0.01493   4.838402 0.17018
 32 -11.020545 0.02796   4.839752 0.27804
 33 -11.019195 0.06598   4.841102 0.39223
 34 -11.017845 0.14679   4.842452 0.50777
 35 -11.016495 0.24495   4.843802 0.60648
 36 -11.015145 0.37167   4.845152 0.68241
 37 -11.013795 0.48581   4.846502 0.73959
 38 -11.012445 0.59635   4.847852 0.79902
 39 -11.011095 0.68056   4.849202 0.83860
 40 -11.009745 0.74976   4.850552 0.87763
 41 -11.008395 0.79532   4.851902 0.90859
 42 -11.007045 0.85583   4.853252 0.92646
 43 -11.005695 0.88821   4.854602 0.94899
 44 -11.004345 0.92042   4.855952 0.97353
 45 -11.002995 0.94551   4.857302 0.98279
 46 -11.001645 0.96498   4.858652 0.99085
 47 -11.000295 0.98140   4.860002 0.99950
 48 -10.998945 0.99069   4.861352 0.98868
 49 -10.997595 1.00000   4.862702 0.99992
 50 -10.996245 0.99795   4.864052 1.00000
 51 -10.994895 0.99658   4.865402 0.99033
 52 -10.993545 0.98976   4.866752 0.97951
 53 -10.992195 0.98749   4.868102 0.96507
 54 -10.990845 0.96575   4.869452 0.95648
 55 -10.989495 0.95634   4.870802 0.93249
 56 -10.988145 0.93477   4.872152 0.90250
 57 -10.986795 0.90139   4.873502 0.87768
 58 -10.985445 0.86017   4.874852 0.83475
 59 -10.984095 0.82595   4.876202 0.79401
 60 -10.982745 0.77230   4.877552 0.74091
 61 -10.981395 0.71184   4.878902 0.68092
 62 -10.980045 0.63914   4.880252 0.59879
 63 -10.978695 0.54003   4.881602 0.49402
 64 -10.977345 0.42627   4.882952 0.38867
 65 -10.975995 0.31555   4.884302 0.28495
 66 -10.974645 0.20743   4.885652 0.16944
 67 -10.973295 0.10595   4.887002 0.09381
 68 -10.971945 0.04611   4.888352 0.04426
 69 -10.970595 0.00584   4.889702 0.01278
 70 -10.969245 0.00000   4.891052 0.00039
 71 -10.967895 0.00000   4.892402 0.00000
 72 -10.966545 0.00000   4.893752 0.00000
 73 -10.965195 0.00000   4.895102 0.00000
 74 -10.963845 0.00000   4.896452 0.00000
 75 -10.962495 0.00000   4.897802 0.00000
 76 -10.961145 0.00000   4.899152 0.00000
 77 -10.959795 0.00000   4.900502 0.00000
 78 -10.958445 0.00000   4.901852 0.00000
 79 -10.957095 0.00000   4.903202 0.00000
 80 -10.955745 0.00000   4.904552 0.00000
 81 -10.954395 0.00000   4.905902 0.00000
 82 -10.953045 0.00000   4.907252 0.00000
 83 -10.951695 0.00000   4.908602 0.00000
 84 -10.950345 0.00000   4.909952 0.00000
 85 -10.948995 0.00000   4.911302 0.00000
 86 -10.947645 0.00000   4.912652 0.00000
 87 -10.946295 0.00000   4.914002 0.00000
 88 -10.944945 0.00000   4.915352 0.00000
 89 -10.943595 0.00000   4.916702 0.00000
 90 -10.942245 0.00000   4.918052 0.00000
 91 -10.940895 0.00000   4.919402 0.00000
 92 -10.939545 0.00000   4.920752 0.00000
 93 -10.938195 0.00000   4.922102 0.00000
 94 -10.936845 0.00000   4.923452 0.00000
 95 -10.935495 0.00000   4.924802 0.00000
 96 -10.934145 0.00000   4.926152 0.00000
 97 -10.932795 0.00000   4.927502 0.00000
 98 -10.931445 0.00000   4.928852 0.00000
 99 -10.930095 0.00000   4.930202 0.00000
100 -10.928745 0.00000   4.931552 0.00000
