  1 -11.072437 0.00000  12.737751 0.00000
  2 -11.071087 0.00000  12.739101 0.00000
  3 -11.069737 0.00000  12.740451 0.00000
  4 -11.068387 0.00000  12.741801 0.00000
  5 -11.067037 0.00000  12.743151 0.00000
  6 -11.065687 0.00000  12.744501 0.00000
  7 -11.064337 0.00000  12.745851 0.00000
  8 -11.062987 0.00000  12.747201 0.00000
  9 -11.061637 0.00000  12.748551 0.00000
 10 -11.060287 0.00000  12.749901 0.00000
 11 -11.058937 0.00000  12.751251 0.00000
 12 -11.057587 0.00000  12.752601 0.00000
 13 -11.056237 0.00000  12.753951 0.00000
 14 -11.054887 0.00000  12.755301 0.00000
 15 -11.053537 0.00000  12.756651 0.00000
 16 -11.052187 0.00000  12.758001 0.00000
 17 -11.050837 0.00000  12.759351 0.00000
 18 -11.049487 0.00000  12.760701 0.00000
 19 -11.048137 0.00000  12.762051 0.00000
 20 -11.046787 0.00000  12.763401 0.00000
 21 -11.045437 0.00000  12.764751 0.00000
 22 -11.044087 0.00000  12.766101 0.00000
 23 -11.042737 0.00000  12.767451 0.00003
 24 -11.041387 0.00000  12.768801 0.00230
 25 -11.040037 0.00000  12.770151 0.00859
 26 -11.038687 0.00000  12.771501 0.02151
 27 -11.037337 0.00005  12.772851 0.06088
 28 -11.035987 0.00173  12.774201 0.12968
 29 -11.034637 0.00752  12.775551 0.20631
 30 -11.033287 0.01625  12.776901 0.28168
 31 -11.031937 0.02888  12.778251 0.36289
 32 -11.030587 0.04726  12.779601 0.44846
 33 -11.029237 0.06912  12.780951 0.54868
 34 -11.027887 0.10204  12.782301 0.62318
 35 -11.026537 0.16675  12.783651 0.71341
 36 -11.025187 0.26016  12.785001 0.77664
 37 -11.023837 0.38168  12.786351 0.83033
 38 -11.022487 0.50214  12.787701 0.86440
 39 -11.021137 0.63063  12.789051 0.91548
 40 -11.019787 0.71126  12.790401 0.92912
 41 -11.018437 0.77303  12.791751 0.95729
 42 -11.017087 0.82621  12.793101 0.95779
 43 -11.015737 0.86708  12.794451 0.99236
 44 -11.014387 0.90405  12.795801 0.98599
 45 -11.013037 0.92684  12.797151 1.00000
 46 -11.011687 0.95374  12.798501 0.99312
 47 -11.010337 0.97360  12.799851 0.99621
 48 -11.008987 0.99125  12.801201 0.99975
 49 -11.007637 0.99158  12.802551 0.99276
 50 -11.006287 0.99774  12.803901 0.98680
 51 -11.004937 0.99672  12.805251 0.97467
 52 -11.003587 1.00000  12.806601 0.95698
 53 -11.002237 0.98824  12.807951 0.95282
 54 -11.000887 0.98313  12.809301 0.91862
 55 -10.999537 0.95891  12.810651 0.88813
 56 -10.998187 0.93985  12.812001 0.85005
 57 -10.996837 0.91950  12.813351 0.80065
 58 -10.995487 0.88289  12.814701 0.75039
 59 -10.994137 0.84123  12.816051 0.67746
 60 -10.992787 0.78439  12.817401 0.59751
 61 -10.991437 0.72590  12.818751 0.49530
 62 -10.990087 0.66132  12.820101 0.39822
 63 -10.988737 0.57871  12.821451 0.31075
 64 -10.987387 0.49219  12.822801 0.23911
 65 -10.986037 0.38524  12.824151 0.17248
 66 -10.984687 0.26049  12.825501 0.11070
 67 -10.983337 0.16176  12.826851 0.06119
 68 -10.981987 0.08291  12.828201 0.02699
 69 -10.980637 0.02186  12.829551 0.00587
 70 -10.979287 0.00030  12.830901 0.00003
 71 -10.977937 0.00000  12.832251 0.00000
 72 -10.976587 0.00000  12.833601 0.00000
 73 -10.975237 0.00000  12.834951 0.00000
 74 -10.973887 0.00000  12.836301 0.00000
 75 -10.972537 0.00000  12.837651 0.00000
 76 -10.971187 0.00000  12.839001 0.00000
 77 -10.969837 0.00000  12.840351 0.00000
 78 -10.968487 0.00000  12.841701 0.00000
 79 -10.967137 0.00000  12.843051 0.00000
 80 -10.965787 0.00000  12.844401 0.00000
 81 -10.964437 0.00000  12.845751 0.00000
 82 -10.963087 0.00000  12.847101 0.00000
 83 -10.961737 0.00000  12.848451 0.00000
 84 -10.960387 0.00000  12.849801 0.00000
 85 -10.959037 0.00000  12.851151 0.00000
 86 -10.957687 0.00000  12.852501 0.00000
 87 -10.956337 0.00000  12.853851 0.00000
 88 -10.954987 0.00000  12.855201 0.00000
 89 -10.953637 0.00000  12.856551 0.00000
 90 -10.952287 0.00000  12.857901 0.00000
 91 -10.950937 0.00000  12.859251 0.00000
 92 -10.949587 0.00000  12.860601 0.00000
 93 -10.948237 0.00000  12.861951 0.00000
 94 -10.946887 0.00000  12.863301 0.00000
 95 -10.945537 0.00000  12.864651 0.00000
 96 -10.944187 0.00000  12.866001 0.00000
 97 -10.942837 0.00000  12.867351 0.00000
 98 -10.941487 0.00000  12.868701 0.00000
 99 -10.940137 0.00000  12.870051 0.00000
100 -10.938787 0.00000  12.871401 0.00000
