  1 -13.495217 0.00000  -2.367995 0.00000
  2 -13.493867 0.00000  -2.366645 0.00000
  3 -13.492517 0.00000  -2.365295 0.00000
  4 -13.491167 0.00000  -2.363945 0.00000
  5 -13.489817 0.00000  -2.362595 0.00000
  6 -13.488467 0.00000  -2.361245 0.00000
  7 -13.487117 0.00000  -2.359895 0.00000
  8 -13.485767 0.00000  -2.358545 0.00000
  9 -13.484417 0.00000  -2.357195 0.00000
 10 -13.483067 0.00000  -2.355845 0.00000
 11 -13.481717 0.00000  -2.354495 0.00000
 12 -13.480367 0.00000  -2.353145 0.00000
 13 -13.479017 0.00000  -2.351795 0.00000
 14 -13.477667 0.00000  -2.350445 0.00000
 15 -13.476317 0.00000  -2.349095 0.00000
 16 -13.474967 0.00000  -2.347745 0.00000
 17 -13.473617 0.00000  -2.346395 0.00000
 18 -13.472267 0.00000  -2.345045 0.00000
 19 -13.470917 0.00000  -2.343695 0.00000
 20 -13.469567 0.00000  -2.342345 0.00000
 21 -13.468217 0.00000  -2.340995 0.00000
 22 -13.466867 0.00000  -2.339645 0.00000
 23 -13.465517 0.00000  -2.338295 0.00000
 24 -13.464167 0.00005  -2.336945 0.00000
 25 -13.462817 0.00037  -2.335595 0.00000
 26 -13.461467 0.00132  -2.334245 0.00000
 27 -13.460117 0.00326  -2.332895 0.00006
 28 -13.458767 0.00558  -2.331545 0.00364
 29 -13.457417 0.00797  -2.330195 0.02694
 30 -13.456067 0.01160  -2.328845 0.07364
 31 -13.454717 0.01893  -2.327495 0.12870
 32 -13.453367 0.02434  -2.326145 0.19601
 33 -13.452017 0.04247  -2.324795 0.28094
 34 -13.450667 0.10072  -2.323445 0.38435
 35 -13.449317 0.20739  -2.322095 0.48701
 36 -13.447967 0.33289  -2.320745 0.58793
 37 -13.446617 0.47068  -2.319395 0.67339
 38 -13.445267 0.57761  -2.318045 0.73967
 39 -13.443917 0.67826  -2.316695 0.79119
 40 -13.442567 0.73949  -2.315345 0.83504
 41 -13.441217 0.80038  -2.313995 0.87086
 42 -13.439867 0.83912  -2.312645 0.90479
 43 -13.438517 0.88502  -2.311295 0.92395
 44 -13.437167 0.90683  -2.309945 0.94346
 45 -13.435817 0.94377  -2.308595 0.97609
 46 -13.434467 0.95868  -2.307245 0.97323
 47 -13.433117 0.97486  -2.305895 0.98701
 48 -13.431767 0.98311  -2.304545 1.00000
 49 -13.430417 0.98414  -2.303195 0.98936
 50 -13.429067 0.98909  -2.301845 0.99992
 51 -13.427717 1.00000  -2.300495 0.99955
 52 -13.426367 0.98567  -2.299145 0.98805
 53 -13.425017 0.98541  -2.297795 0.98051
 54 -13.423667 0.95768  -2.296445 0.96833
 55 -13.422317 0.93748  -2.295095 0.96001
 56 -13.420967 0.92101  -2.293745 0.93596
 57 -13.419617 0.88195  -2.292395 0.90883
 58 -13.418267 0.83873  -2.291045 0.88161
 59 -13.416917 0.80216  -2.289695 0.84431
 60 -13.415567 0.75458  -2.288345 0.80737
 61 -13.414217 0.68272  -2.286995 0.75165
 62 -13.412867 0.60629  -2.285645 0.69419
 63 -13.411517 0.51789  -2.284295 0.61439
 64 -13.410167 0.39978  -2.282945 0.51420
 65 -13.408817 0.26994  -2.281595 0.41742
 66 -13.407467 0.15486  -2.280245 0.33123
 67 -13.406117 0.07166  -2.278895 0.24303
 68 -13.404767 0.02531  -2.277545 0.15844
 69 -13.403417 0.00192  -2.276195 0.08498
 70 -13.402067 0.00000  -2.274845 0.03259
 71 -13.400717 0.00000  -2.273495 0.00876
 72 -13.399367 0.00000  -2.272145 0.00370
 73 -13.398017 0.00000  -2.270795 0.00123
 74 -13.396667 0.00000  -2.269445 0.00036
 75 -13.395317 0.00000  -2.268095 0.00000
 76 -13.393967 0.00000  -2.266745 0.00000
 77 -13.392617 0.00000  -2.265395 0.00000
 78 -13.391267 0.00000  -2.264045 0.00000
 79 -13.389917 0.00000  -2.262695 0.00000
 80 -13.388567 0.00000  -2.261345 0.00000
 81 -13.387217 0.00000  -2.259995 0.00000
 82 -13.385867 0.00000  -2.258645 0.00000
 83 -13.384517 0.00000  -2.257295 0.00000
 84 -13.383167 0.00000  -2.255945 0.00000
 85 -13.381817 0.00000  -2.254595 0.00000
 86 -13.380467 0.00000  -2.253245 0.00000
 87 -13.379117 0.00000  -2.251895 0.00000
 88 -13.377767 0.00000  -2.250545 0.00000
 89 -13.376417 0.00000  -2.249195 0.00000
 90 -13.375067 0.00000  -2.247845 0.00000
 91 -13.373717 0.00000  -2.246495 0.00000
 92 -13.372367 0.00000  -2.245145 0.00000
 93 -13.371017 0.00000  -2.243795 0.00000
 94 -13.369667 0.00000  -2.242445 0.00000
 95 -13.368317 0.00000  -2.241095 0.00000
 96 -13.366967 0.00000  -2.239745 0.00000
 97 -13.365617 0.00000  -2.238395 0.00000
 98 -13.364267 0.00000  -2.237045 0.00000
 99 -13.362917 0.00000  -2.235695 0.00000
100 -13.361567 0.00000  -2.234345 0.00000
