  1  -7.073486 0.00000 -12.536512 0.00000
  2  -7.072136 0.00000 -12.535162 0.00000
  3  -7.070786 0.00000 -12.533812 0.00000
  4  -7.069436 0.00000 -12.532462 0.00000
  5  -7.068086 0.00000 -12.531112 0.00000
  6  -7.066736 0.00000 -12.529762 0.00000
  7  -7.065386 0.00000 -12.528412 0.00000
  8  -7.064036 0.00000 -12.527062 0.00000
  9  -7.062686 0.00000 -12.525712 0.00000
 10  -7.061336 0.00000 -12.524362 0.00000
 11  -7.059986 0.00000 -12.523012 0.00000
 12  -7.058636 0.00000 -12.521662 0.00000
 13  -7.057286 0.00000 -12.520312 0.00000
 14  -7.055936 0.00000 -12.518962 0.00000
 15  -7.054586 0.00000 -12.517612 0.00000
 16  -7.053236 0.00000 -12.516262 0.00000
 17  -7.051886 0.00000 -12.514912 0.00000
 18  -7.050536 0.00000 -12.513562 0.00000
 19  -7.049186 0.00000 -12.512212 0.00000
 20  -7.047836 0.00000 -12.510862 0.00000
 21  -7.046486 0.00000 -12.509512 0.00000
 22  -7.045136 0.00000 -12.508162 0.00003
 23  -7.043786 0.00000 -12.506812 0.00085
 24  -7.042436 0.00000 -12.505462 0.00560
 25  -7.041086 0.00000 -12.504112 0.01561
 26  -7.039736 0.00000 -12.502762 0.02864
 27  -7.038386 0.00000 -12.501412 0.04643
 28  -7.037036 0.00000 -12.500062 0.06803
 29  -7.035686 0.00000 -12.498712 0.09528
 30  -7.034336 0.00000 -12.497362 0.13249
 31  -7.032986 0.00993 -12.496012 0.17123
 32  -7.031636 0.04776 -12.494662 0.22679
 33  -7.030286 0.09997 -12.493312 0.29143
 34  -7.028936 0.16684 -12.491962 0.35896
 35  -7.027586 0.28564 -12.490612 0.42813
 36  -7.026236 0.41960 -12.489262 0.49518
 37  -7.024886 0.54094 -12.487912 0.55525
 38  -7.023536 0.63781 -12.486562 0.62095
 39  -7.022186 0.71167 -12.485212 0.66968
 40  -7.020836 0.76439 -12.483862 0.70848
 41  -7.019486 0.81969 -12.482512 0.76372
 42  -7.018136 0.86085 -12.481162 0.81616
 43  -7.016786 0.88867 -12.479812 0.86144
 44  -7.015436 0.92422 -12.478462 0.88572
 45  -7.014086 0.94078 -12.477112 0.91939
 46  -7.012736 0.96371 -12.475762 0.94647
 47  -7.011386 0.97482 -12.474412 0.97304
 48  -7.010036 0.99191 -12.473062 0.97572
 49  -7.008686 0.99652 -12.471712 0.98326
 50  -7.007336 0.99380 -12.470362 0.99564
 51  -7.005986 1.00000 -12.469012 0.99337
 52  -7.004636 0.99314 -12.467662 1.00000
 53  -7.003286 0.97077 -12.466312 0.98200
 54  -7.001936 0.96983 -12.464962 0.98053
 55  -7.000586 0.95480 -12.463612 0.97940
 56  -6.999236 0.92778 -12.462262 0.95239
 57  -6.997886 0.90408 -12.460912 0.92552
 58  -6.996536 0.87475 -12.459562 0.90672
 59  -6.995186 0.82527 -12.458212 0.87072
 60  -6.993836 0.78036 -12.456862 0.83060
 61  -6.992486 0.72290 -12.455512 0.79236
 62  -6.991136 0.65444 -12.454162 0.73467
 63  -6.989786 0.56622 -12.452812 0.68152
 64  -6.988436 0.47621 -12.451462 0.61954
 65  -6.987086 0.37484 -12.450112 0.55396
 66  -6.985736 0.25826 -12.448762 0.48926
 67  -6.984386 0.11827 -12.447412 0.41422
 68  -6.983036 0.01771 -12.446062 0.33707
 69  -6.981686 0.00000 -12.444712 0.27614
 70  -6.980336 0.00000 -12.443362 0.22812
 71  -6.978986 0.00000 -12.442012 0.17892
 72  -6.977636 0.00000 -12.440662 0.15040
 73  -6.976286 0.00000 -12.439312 0.11572
 74  -6.974936 0.00000 -12.437962 0.08511
 75  -6.973586 0.00000 -12.436612 0.06443
 76  -6.972236 0.00000 -12.435262 0.04351
 77  -6.970886 0.00000 -12.433912 0.02852
 78  -6.969536 0.00000 -12.432562 0.01305
 79  -6.968186 0.00000 -12.431212 0.00474
 80  -6.966836 0.00000 -12.429862 0.00024
 81  -6.965486 0.00000 -12.428512 0.00000
 82  -6.964136 0.00000 -12.427162 0.00000
 83  -6.962786 0.00000 -12.425812 0.00000
 84  -6.961436 0.00000 -12.424462 0.00000
 85  -6.960086 0.00000 -12.423112 0.00000
 86  -6.958736 0.00000 -12.421762 0.00000
 87  -6.957386 0.00000 -12.420412 0.00000
 88  -6.956036 0.00000 -12.419062 0.00000
 89  -6.954686 0.00000 -12.417712 0.00000
 90  -6.953336 0.00000 -12.416362 0.00000
 91  -6.951986 0.00000 -12.415012 0.00000
 92  -6.950636 0.00000 -12.413662 0.00000
 93  -6.949286 0.00000 -12.412312 0.00000
 94  -6.947936 0.00000 -12.410962 0.00000
 95  -6.946586 0.00000 -12.409612 0.00000
 96  -6.945236 0.00000 -12.408262 0.00000
 97  -6.943886 0.00000 -12.406912 0.00000
 98  -6.942536 0.00000 -12.405562 0.00000
 99  -6.941186 0.00000 -12.404212 0.00000
100  -6.939836 0.00000 -12.402862 0.00000
