  1 -12.053345 0.00000  12.690175 0.00000
  2 -12.051995 0.00000  12.691525 0.00000
  3 -12.050645 0.00000  12.692875 0.00000
  4 -12.049295 0.00000  12.694225 0.00000
  5 -12.047945 0.00000  12.695575 0.00000
  6 -12.046595 0.00000  12.696925 0.00000
  7 -12.045245 0.00000  12.698275 0.00000
  8 -12.043895 0.00000  12.699625 0.00000
  9 -12.042545 0.00000  12.700975 0.00000
 10 -12.041195 0.00000  12.702325 0.00000
 11 -12.039845 0.00000  12.703675 0.00000
 12 -12.038495 0.00000  12.705025 0.00000
 13 -12.037145 0.00000  12.706375 0.00000
 14 -12.035795 0.00000  12.707725 0.00000
 15 -12.034445 0.00000  12.709075 0.00000
 16 -12.033095 0.00000  12.710425 0.00000
 17 -12.031745 0.00000  12.711775 0.00000
 18 -12.030395 0.00000  12.713125 0.00000
 19 -12.029045 0.00000  12.714475 0.00000
 20 -12.027695 0.00000  12.715825 0.00000
 21 -12.026345 0.00000  12.717175 0.00000
 22 -12.024995 0.00000  12.718525 0.00000
 23 -12.023645 0.00000  12.719875 0.00000
 24 -12.022295 0.00000  12.721225 0.00008
 25 -12.020945 0.00000  12.722575 0.00641
 26 -12.019595 0.00000  12.723925 0.04158
 27 -12.018245 0.00000  12.725275 0.10222
 28 -12.016895 0.00072  12.726625 0.17051
 29 -12.015545 0.00498  12.727975 0.23903
 30 -12.014195 0.01346  12.729325 0.30482
 31 -12.012845 0.02672  12.730675 0.37706
 32 -12.011495 0.04040  12.732025 0.45381
 33 -12.010145 0.06475  12.733375 0.54427
 34 -12.008795 0.10008  12.734725 0.63517
 35 -12.007445 0.16441  12.736075 0.70479
 36 -12.006095 0.25399  12.737425 0.77565
 37 -12.004745 0.36698  12.738775 0.82587
 38 -12.003395 0.48099  12.740125 0.87601
 39 -12.002045 0.59545  12.741475 0.90959
 40 -12.000695 0.69178  12.742825 0.93871
 41 -11.999345 0.76275  12.744175 0.95131
 42 -11.997995 0.81656  12.745525 0.97390
 43 -11.996645 0.85601  12.746875 0.98689
 44 -11.995295 0.89156  12.748225 0.99960
 45 -11.993945 0.92258  12.749575 0.98698
 46 -11.992595 0.94191  12.750925 0.99604
 47 -11.991245 0.96967  12.752275 1.00000
 48 -11.989895 0.98612  12.753625 0.99757
 49 -11.988545 0.99535  12.754975 0.99977
 50 -11.987195 0.99918  12.756325 0.98345
 51 -11.985845 0.99127  12.757675 0.97958
 52 -11.984495 1.00000  12.759025 0.96196
 53 -11.983145 0.98562  12.760375 0.93908
 54 -11.981795 0.97054  12.761725 0.91626
 55 -11.980445 0.96060  12.763075 0.88694
 56 -11.979095 0.94094  12.764425 0.85005
 57 -11.977745 0.92328  12.765775 0.79175
 58 -11.976395 0.88296  12.767125 0.73456
 59 -11.975045 0.83444  12.768475 0.65632
 60 -11.973695 0.78954  12.769825 0.55687
 61 -11.972345 0.72200  12.771175 0.46965
 62 -11.970995 0.65857  12.772525 0.38901
 63 -11.969645 0.58321  12.773875 0.31899
 64 -11.968295 0.48495  12.775225 0.25253
 65 -11.966945 0.36945  12.776575 0.18946
 66 -11.965595 0.25817  12.777925 0.12902
 67 -11.964245 0.16474  12.779275 0.07940
 68 -11.962895 0.09675  12.780625 0.03858
 69 -11.961545 0.03841  12.781975 0.01407
 70 -11.960195 0.00326  12.783325 0.00088
 71 -11.958845 0.00000  12.784675 0.00000
 72 -11.957495 0.00000  12.786025 0.00000
 73 -11.956145 0.00000  12.787375 0.00000
 74 -11.954795 0.00000  12.788725 0.00000
 75 -11.953445 0.00000  12.790075 0.00000
 76 -11.952095 0.00000  12.791425 0.00000
 77 -11.950745 0.00000  12.792775 0.00000
 78 -11.949395 0.00000  12.794125 0.00000
 79 -11.948045 0.00000  12.795475 0.00000
 80 -11.946695 0.00000  12.796825 0.00000
 81 -11.945345 0.00000  12.798175 0.00000
 82 -11.943995 0.00000  12.799525 0.00000
 83 -11.942645 0.00000  12.800875 0.00000
 84 -11.941295 0.00000  12.802225 0.00000
 85 -11.939945 0.00000  12.803575 0.00000
 86 -11.938595 0.00000  12.804925 0.00000
 87 -11.937245 0.00000  12.806275 0.00000
 88 -11.935895 0.00000  12.807625 0.00000
 89 -11.934545 0.00000  12.808975 0.00000
 90 -11.933195 0.00000  12.810325 0.00000
 91 -11.931845 0.00000  12.811675 0.00000
 92 -11.930495 0.00000  12.813025 0.00000
 93 -11.929145 0.00000  12.814375 0.00000
 94 -11.927795 0.00000  12.815725 0.00000
 95 -11.926445 0.00000  12.817075 0.00000
 96 -11.925095 0.00000  12.818425 0.00000
 97 -11.923745 0.00000  12.819775 0.00000
 98 -11.922395 0.00000  12.821125 0.00000
 99 -11.921045 0.00000  12.822475 0.00000
100 -11.919695 0.00000  12.823825 0.00000
