  1 -12.534365 0.00000   9.139588 0.00000
  2 -12.533015 0.00000   9.140938 0.00000
  3 -12.531665 0.00000   9.142288 0.00000
  4 -12.530315 0.00000   9.143638 0.00000
  5 -12.528965 0.00000   9.144988 0.00000
  6 -12.527615 0.00000   9.146338 0.00000
  7 -12.526265 0.00000   9.147688 0.00000
  8 -12.524915 0.00000   9.149038 0.00000
  9 -12.523565 0.00000   9.150388 0.00000
 10 -12.522215 0.00000   9.151738 0.00000
 11 -12.520865 0.00000   9.153088 0.00000
 12 -12.519515 0.00000   9.154438 0.00000
 13 -12.518165 0.00000   9.155788 0.00000
 14 -12.516815 0.00000   9.157138 0.00000
 15 -12.515465 0.00000   9.158488 0.00000
 16 -12.514115 0.00000   9.159838 0.00000
 17 -12.512765 0.00000   9.161188 0.00000
 18 -12.511415 0.00000   9.162538 0.00000
 19 -12.510065 0.00000   9.163888 0.00000
 20 -12.508715 0.00000   9.165238 0.00000
 21 -12.507365 0.00000   9.166588 0.00000
 22 -12.506015 0.00000   9.167938 0.00000
 23 -12.504665 0.00000   9.169288 0.00000
 24 -12.503315 0.00000   9.170638 0.00000
 25 -12.501965 0.00000   9.171988 0.00003
 26 -12.500615 0.00000   9.173338 0.00752
 27 -12.499265 0.00000   9.174688 0.03699
 28 -12.497915 0.00000   9.176038 0.07472
 29 -12.496565 0.00039   9.177388 0.13415
 30 -12.495215 0.00241   9.178738 0.21342
 31 -12.493865 0.00895   9.180088 0.28841
 32 -12.492515 0.02305   9.181438 0.38161
 33 -12.491165 0.04490   9.182788 0.47181
 34 -12.489815 0.08519   9.184138 0.57005
 35 -12.488465 0.18866   9.185488 0.65111
 36 -12.487115 0.30622   9.186838 0.72112
 37 -12.485765 0.42105   9.188188 0.78218
 38 -12.484415 0.53544   9.189538 0.83211
 39 -12.483065 0.62874   9.190888 0.87191
 40 -12.481715 0.71300   9.192238 0.89372
 41 -12.480365 0.77105   9.193588 0.92600
 42 -12.479015 0.82603   9.194938 0.94310
 43 -12.477665 0.87025   9.196288 0.96442
 44 -12.476315 0.89333   9.197638 0.96946
 45 -12.474965 0.93108   9.198988 0.98314
 46 -12.473615 0.95025   9.200338 0.99320
 47 -12.472265 0.95814   9.201688 1.00000
 48 -12.470915 0.98402   9.203038 0.98973
 49 -12.469565 0.99216   9.204388 0.98659
 50 -12.468215 0.99258   9.205738 0.98130
 51 -12.466865 1.00000   9.207088 0.98166
 52 -12.465515 0.99073   9.208438 0.96546
 53 -12.464165 0.98181   9.209788 0.94307
 54 -12.462815 0.97670   9.211138 0.92198
 55 -12.461465 0.95455   9.212488 0.89209
 56 -12.460115 0.92231   9.213838 0.86340
 57 -12.458765 0.90247   9.215188 0.82630
 58 -12.457415 0.87376   9.216538 0.77997
 59 -12.456065 0.83434   9.217888 0.72461
 60 -12.454715 0.78327   9.219238 0.64474
 61 -12.453365 0.72720   9.220588 0.57085
 62 -12.452015 0.65049   9.221938 0.47680
 63 -12.450665 0.55830   9.223288 0.38109
 64 -12.449315 0.45156   9.224638 0.29004
 65 -12.447965 0.32566   9.225988 0.21006
 66 -12.446615 0.21420   9.227338 0.13556
 67 -12.445265 0.12122   9.228688 0.07880
 68 -12.443915 0.05594   9.230038 0.04087
 69 -12.442565 0.00968   9.231388 0.01372
 70 -12.441215 0.00000   9.232738 0.00107
 71 -12.439865 0.00000   9.234088 0.00000
 72 -12.438515 0.00000   9.235438 0.00000
 73 -12.437165 0.00000   9.236788 0.00000
 74 -12.435815 0.00000   9.238138 0.00000
 75 -12.434465 0.00000   9.239488 0.00000
 76 -12.433115 0.00000   9.240838 0.00000
 77 -12.431765 0.00000   9.242188 0.00000
 78 -12.430415 0.00000   9.243538 0.00000
 79 -12.429065 0.00000   9.244888 0.00000
 80 -12.427715 0.00000   9.246238 0.00000
 81 -12.426365 0.00000   9.247588 0.00000
 82 -12.425015 0.00000   9.248938 0.00000
 83 -12.423665 0.00000   9.250288 0.00000
 84 -12.422315 0.00000   9.251638 0.00000
 85 -12.420965 0.00000   9.252988 0.00000
 86 -12.419615 0.00000   9.254338 0.00000
 87 -12.418265 0.00000   9.255688 0.00000
 88 -12.416915 0.00000   9.257038 0.00000
 89 -12.415565 0.00000   9.258388 0.00000
 90 -12.414215 0.00000   9.259738 0.00000
 91 -12.412865 0.00000   9.261088 0.00000
 92 -12.411515 0.00000   9.262438 0.00000
 93 -12.410165 0.00000   9.263788 0.00000
 94 -12.408815 0.00000   9.265138 0.00000
 95 -12.407465 0.00000   9.266488 0.00000
 96 -12.406115 0.00000   9.267838 0.00000
 97 -12.404765 0.00000   9.269188 0.00000
 98 -12.403415 0.00000   9.270538 0.00000
 99 -12.402065 0.00000   9.271888 0.00000
100 -12.400715 0.00000   9.273238 0.00000
