  1  -7.576509 0.00000   0.833078 0.00000
  2  -7.575159 0.00000   0.834428 0.00000
  3  -7.573809 0.00000   0.835778 0.00000
  4  -7.572459 0.00000   0.837128 0.00000
  5  -7.571109 0.00000   0.838478 0.00000
  6  -7.569759 0.00000   0.839828 0.00000
  7  -7.568409 0.00000   0.841178 0.00000
  8  -7.567059 0.00000   0.842528 0.00000
  9  -7.565709 0.00000   0.843878 0.00000
 10  -7.564359 0.00000   0.845228 0.00000
 11  -7.563009 0.00000   0.846578 0.00000
 12  -7.561659 0.00000   0.847928 0.00000
 13  -7.560309 0.00000   0.849278 0.00000
 14  -7.558959 0.00000   0.850628 0.00000
 15  -7.557609 0.00000   0.851978 0.00000
 16  -7.556259 0.00000   0.853328 0.00000
 17  -7.554909 0.00000   0.854678 0.00000
 18  -7.553559 0.00000   0.856028 0.00000
 19  -7.552209 0.00000   0.857378 0.00000
 20  -7.550859 0.00000   0.858728 0.00000
 21  -7.549509 0.00000   0.860078 0.00000
 22  -7.548159 0.00000   0.861428 0.00000
 23  -7.546809 0.00000   0.862778 0.00000
 24  -7.545459 0.00000   0.864128 0.00000
 25  -7.544109 0.00000   0.865478 0.00000
 26  -7.542759 0.00000   0.866828 0.00000
 27  -7.541409 0.00010   0.868178 0.00000
 28  -7.540059 0.00132   0.869528 0.00038
 29  -7.538709 0.00432   0.870878 0.00569
 30  -7.537359 0.00943   0.872228 0.01850
 31  -7.536009 0.02058   0.873578 0.05750
 32  -7.534659 0.05903   0.874928 0.17286
 33  -7.533309 0.12444   0.876278 0.32466
 34  -7.531959 0.19282   0.877628 0.46343
 35  -7.530609 0.29157   0.878978 0.56842
 36  -7.529259 0.40323   0.880328 0.64544
 37  -7.527909 0.52005   0.881678 0.71899
 38  -7.526559 0.62876   0.883028 0.76475
 39  -7.525209 0.71130   0.884378 0.81956
 40  -7.523859 0.76720   0.885728 0.84897
 41  -7.522509 0.81178   0.887078 0.88525
 42  -7.521159 0.85622   0.888428 0.91084
 43  -7.519809 0.89299   0.889778 0.94055
 44  -7.518459 0.91591   0.891128 0.95751
 45  -7.517109 0.94885   0.892478 0.96655
 46  -7.515759 0.96077   0.893828 0.98241
 47  -7.514409 0.97133   0.895178 0.99181
 48  -7.513059 0.98465   0.896528 1.00000
 49  -7.511709 0.98379   0.897878 0.98991
 50  -7.510359 1.00000   0.899228 0.99412
 51  -7.509009 0.99197   0.900578 0.99145
 52  -7.507659 0.98491   0.901928 0.98114
 53  -7.506309 0.98094   0.903278 0.97205
 54  -7.504959 0.96361   0.904628 0.96303
 55  -7.503609 0.93988   0.905978 0.94838
 56  -7.502259 0.92465   0.907328 0.91526
 57  -7.500909 0.89076   0.908678 0.89454
 58  -7.499559 0.86095   0.910028 0.86670
 59  -7.498209 0.81676   0.911378 0.83138
 60  -7.496859 0.77750   0.912728 0.78542
 61  -7.495509 0.71252   0.914078 0.73581
 62  -7.494159 0.64820   0.915428 0.68133
 63  -7.492809 0.55250   0.916778 0.59761
 64  -7.491459 0.44173   0.918128 0.50315
 65  -7.490109 0.34054   0.919478 0.38617
 66  -7.488759 0.24250   0.920828 0.22769
 67  -7.487409 0.14175   0.922178 0.09526
 68  -7.486059 0.06767   0.923528 0.02655
 69  -7.484709 0.02353   0.924878 0.00289
 70  -7.483359 0.00079   0.926228 0.00000
 71  -7.482009 0.00000   0.927578 0.00000
 72  -7.480659 0.00000   0.928928 0.00000
 73  -7.479309 0.00000   0.930278 0.00000
 74  -7.477959 0.00000   0.931628 0.00000
 75  -7.476609 0.00000   0.932978 0.00000
 76  -7.475259 0.00000   0.934328 0.00000
 77  -7.473909 0.00000   0.935678 0.00000
 78  -7.472559 0.00000   0.937028 0.00000
 79  -7.471209 0.00000   0.938378 0.00000
 80  -7.469859 0.00000   0.939728 0.00000
 81  -7.468509 0.00000   0.941078 0.00000
 82  -7.467159 0.00000   0.942428 0.00000
 83  -7.465809 0.00000   0.943778 0.00000
 84  -7.464459 0.00000   0.945128 0.00000
 85  -7.463109 0.00000   0.946478 0.00000
 86  -7.461759 0.00000   0.947828 0.00000
 87  -7.460409 0.00000   0.949178 0.00000
 88  -7.459059 0.00000   0.950528 0.00000
 89  -7.457709 0.00000   0.951878 0.00000
 90  -7.456359 0.00000   0.953228 0.00000
 91  -7.455009 0.00000   0.954578 0.00000
 92  -7.453659 0.00000   0.955928 0.00000
 93  -7.452309 0.00000   0.957278 0.00000
 94  -7.450959 0.00000   0.958628 0.00000
 95  -7.449609 0.00000   0.959978 0.00000
 96  -7.448259 0.00000   0.961328 0.00000
 97  -7.446909 0.00000   0.962678 0.00000
 98  -7.445559 0.00000   0.964028 0.00000
 99  -7.444209 0.00000   0.965378 0.00000
100  -7.442859 0.00000   0.966728 0.00000
