  1   6.252623 0.00000 -12.944861 0.00000
  2   6.253973 0.00000 -12.943511 0.00000
  3   6.255323 0.00000 -12.942161 0.00000
  4   6.256673 0.00000 -12.940811 0.00000
  5   6.258023 0.00000 -12.939461 0.00000
  6   6.259373 0.00000 -12.938111 0.00000
  7   6.260723 0.00000 -12.936761 0.00000
  8   6.262073 0.00000 -12.935411 0.00000
  9   6.263423 0.00000 -12.934061 0.00000
 10   6.264773 0.00000 -12.932711 0.00000
 11   6.266123 0.00000 -12.931361 0.00000
 12   6.267473 0.00000 -12.930011 0.00000
 13   6.268823 0.00000 -12.928661 0.00000
 14   6.270173 0.00000 -12.927311 0.00000
 15   6.271523 0.00000 -12.925961 0.00000
 16   6.272873 0.00000 -12.924611 0.00000
 17   6.274223 0.00000 -12.923261 0.00000
 18   6.275573 0.00000 -12.921911 0.00000
 19   6.276923 0.00000 -12.920561 0.00000
 20   6.278273 0.00000 -12.919211 0.00000
 21   6.279623 0.00000 -12.917861 0.00027
 22   6.280973 0.00000 -12.916511 0.00385
 23   6.282323 0.00000 -12.915161 0.01139
 24   6.283673 0.00000 -12.913811 0.02282
 25   6.285023 0.00000 -12.912461 0.03597
 26   6.286373 0.00000 -12.911111 0.05514
 27   6.287723 0.00000 -12.909761 0.07692
 28   6.289073 0.00000 -12.908411 0.10420
 29   6.290423 0.00000 -12.907061 0.13266
 30   6.291773 0.00000 -12.905711 0.16767
 31   6.293123 0.01252 -12.904361 0.20913
 32   6.294473 0.11836 -12.903011 0.26042
 33   6.295823 0.24630 -12.901661 0.31247
 34   6.297173 0.35873 -12.900311 0.38392
 35   6.298523 0.45822 -12.898961 0.44295
 36   6.299873 0.53878 -12.897611 0.50686
 37   6.301223 0.62175 -12.896261 0.56525
 38   6.302573 0.68791 -12.894911 0.62058
 39   6.303923 0.75084 -12.893561 0.66382
 40   6.305273 0.79227 -12.892211 0.70787
 41   6.306623 0.83409 -12.890861 0.75947
 42   6.307973 0.86739 -12.889511 0.80063
 43   6.309323 0.90063 -12.888161 0.83263
 44   6.310673 0.93095 -12.886811 0.87864
 45   6.312023 0.94375 -12.885461 0.91264
 46   6.313373 0.96673 -12.884111 0.94262
 47   6.314723 0.96464 -12.882761 0.95613
 48   6.316073 0.98561 -12.881411 0.97271
 49   6.317423 0.99314 -12.880061 0.98491
 50   6.318773 0.99428 -12.878711 0.99123
 51   6.320123 1.00000 -12.877361 1.00000
 52   6.321473 0.99082 -12.876011 0.99290
 53   6.322823 0.97614 -12.874661 0.98610
 54   6.324173 0.98221 -12.873311 0.97474
 55   6.325523 0.95817 -12.871961 0.96782
 56   6.326873 0.95418 -12.870611 0.94384
 57   6.328223 0.93905 -12.869261 0.91527
 58   6.329573 0.90522 -12.867911 0.88369
 59   6.330923 0.87424 -12.866561 0.85652
 60   6.332273 0.84959 -12.865211 0.80841
 61   6.333623 0.80726 -12.863861 0.76862
 62   6.334973 0.75577 -12.862511 0.71536
 63   6.336323 0.71514 -12.861161 0.65812
 64   6.337673 0.65249 -12.859811 0.60951
 65   6.339023 0.55975 -12.858461 0.54465
 66   6.340373 0.46162 -12.857111 0.48792
 67   6.341723 0.35026 -12.855761 0.42249
 68   6.343073 0.24105 -12.854411 0.35121
 69   6.344423 0.13216 -12.853061 0.29681
 70   6.345773 0.06820 -12.851711 0.24906
 71   6.347123 0.01706 -12.850361 0.20370
 72   6.348473 0.00014 -12.849011 0.16833
 73   6.349823 0.00000 -12.847661 0.13958
 74   6.351173 0.00000 -12.846311 0.11291
 75   6.352523 0.00000 -12.844961 0.08613
 76   6.353873 0.00000 -12.843611 0.06785
 77   6.355223 0.00000 -12.842261 0.04870
 78   6.356573 0.00000 -12.840911 0.03105
 79   6.357923 0.00000 -12.839561 0.01915
 80   6.359273 0.00000 -12.838211 0.00856
 81   6.360623 0.00000 -12.836861 0.00146
 82   6.361973 0.00000 -12.835511 0.00000
 83   6.363323 0.00000 -12.834161 0.00000
 84   6.364673 0.00000 -12.832811 0.00000
 85   6.366023 0.00000 -12.831461 0.00000
 86   6.367373 0.00000 -12.830111 0.00000
 87   6.368723 0.00000 -12.828761 0.00000
 88   6.370073 0.00000 -12.827411 0.00000
 89   6.371423 0.00000 -12.826061 0.00000
 90   6.372773 0.00000 -12.824711 0.00000
 91   6.374123 0.00000 -12.823361 0.00000
 92   6.375473 0.00000 -12.822011 0.00000
 93   6.376823 0.00000 -12.820661 0.00000
 94   6.378173 0.00000 -12.819311 0.00000
 95   6.379523 0.00000 -12.817961 0.00000
 96   6.380873 0.00000 -12.816611 0.00000
 97   6.382223 0.00000 -12.815261 0.00000
 98   6.383573 0.00000 -12.813911 0.00000
 99   6.384923 0.00000 -12.812561 0.00000
100   6.386273 0.00000 -12.811211 0.00000
