  1 -12.526410 0.00000  -0.386087 0.00000
  2 -12.525060 0.00000  -0.384737 0.00000
  3 -12.523710 0.00000  -0.383387 0.00000
  4 -12.522360 0.00000  -0.382037 0.00000
  5 -12.521010 0.00000  -0.380687 0.00000
  6 -12.519660 0.00000  -0.379337 0.00000
  7 -12.518310 0.00000  -0.377987 0.00000
  8 -12.516960 0.00000  -0.376637 0.00000
  9 -12.515610 0.00000  -0.375287 0.00000
 10 -12.514260 0.00000  -0.373937 0.00000
 11 -12.512910 0.00000  -0.372587 0.00000
 12 -12.511560 0.00000  -0.371237 0.00000
 13 -12.510210 0.00000  -0.369887 0.00000
 14 -12.508860 0.00000  -0.368537 0.00000
 15 -12.507510 0.00000  -0.367187 0.00000
 16 -12.506160 0.00000  -0.365837 0.00000
 17 -12.504810 0.00000  -0.364487 0.00000
 18 -12.503460 0.00000  -0.363137 0.00000
 19 -12.502110 0.00000  -0.361787 0.00000
 20 -12.500760 0.00000  -0.360437 0.00000
 21 -12.499410 0.00000  -0.359087 0.00000
 22 -12.498060 0.00000  -0.357737 0.00000
 23 -12.496710 0.00000  -0.356387 0.00000
 24 -12.495360 0.00000  -0.355037 0.00000
 25 -12.494010 0.00035  -0.353687 0.00000
 26 -12.492660 0.00107  -0.352337 0.00000
 27 -12.491310 0.00283  -0.350987 0.00017
 28 -12.489960 0.00504  -0.349637 0.00459
 29 -12.488610 0.00773  -0.348287 0.02999
 30 -12.487260 0.01259  -0.346937 0.07996
 31 -12.485910 0.01980  -0.345587 0.13716
 32 -12.484560 0.03078  -0.344237 0.20711
 33 -12.483210 0.05497  -0.342887 0.30538
 34 -12.481860 0.13168  -0.341537 0.41461
 35 -12.480510 0.23360  -0.340187 0.52298
 36 -12.479160 0.35671  -0.338837 0.62222
 37 -12.477810 0.48267  -0.337487 0.69571
 38 -12.476460 0.59585  -0.336137 0.75408
 39 -12.475110 0.69275  -0.334787 0.80822
 40 -12.473760 0.75522  -0.333437 0.84525
 41 -12.472410 0.81121  -0.332087 0.88220
 42 -12.471060 0.85558  -0.330737 0.91016
 43 -12.469710 0.89952  -0.329387 0.93409
 44 -12.468360 0.92588  -0.328037 0.95292
 45 -12.467010 0.95104  -0.326687 0.97054
 46 -12.465660 0.96644  -0.325337 0.98075
 47 -12.464310 0.99694  -0.323987 0.98973
 48 -12.462960 0.99990  -0.322637 0.99694
 49 -12.461610 0.99699  -0.321287 0.99087
 50 -12.460260 0.99744  -0.319937 1.00000
 51 -12.458910 0.99928  -0.318587 0.99939
 52 -12.457560 1.00000  -0.317237 0.98639
 53 -12.456210 0.98862  -0.315887 0.98439
 54 -12.454860 0.96552  -0.314537 0.96672
 55 -12.453510 0.95688  -0.313187 0.95017
 56 -12.452160 0.92973  -0.311837 0.92062
 57 -12.450810 0.89517  -0.310487 0.90841
 58 -12.449460 0.85508  -0.309137 0.86489
 59 -12.448110 0.81638  -0.307787 0.83031
 60 -12.446760 0.75960  -0.306437 0.78546
 61 -12.445410 0.70055  -0.305087 0.73307
 62 -12.444060 0.61783  -0.303737 0.66571
 63 -12.442710 0.52408  -0.302387 0.58007
 64 -12.441360 0.40780  -0.301037 0.48069
 65 -12.440010 0.28532  -0.299687 0.39222
 66 -12.438660 0.17050  -0.298337 0.29439
 67 -12.437310 0.08401  -0.296987 0.19314
 68 -12.435960 0.03460  -0.295637 0.11346
 69 -12.434610 0.00494  -0.294287 0.05122
 70 -12.433260 0.00000  -0.292937 0.01544
 71 -12.431910 0.00000  -0.291587 0.00303
 72 -12.430560 0.00000  -0.290237 0.00061
 73 -12.429210 0.00000  -0.288887 0.00003
 74 -12.427860 0.00000  -0.287537 0.00000
 75 -12.426510 0.00000  -0.286187 0.00000
 76 -12.425160 0.00000  -0.284837 0.00000
 77 -12.423810 0.00000  -0.283487 0.00000
 78 -12.422460 0.00000  -0.282137 0.00000
 79 -12.421110 0.00000  -0.280787 0.00000
 80 -12.419760 0.00000  -0.279437 0.00000
 81 -12.418410 0.00000  -0.278087 0.00000
 82 -12.417060 0.00000  -0.276737 0.00000
 83 -12.415710 0.00000  -0.275387 0.00000
 84 -12.414360 0.00000  -0.274037 0.00000
 85 -12.413010 0.00000  -0.272687 0.00000
 86 -12.411660 0.00000  -0.271337 0.00000
 87 -12.410310 0.00000  -0.269987 0.00000
 88 -12.408960 0.00000  -0.268637 0.00000
 89 -12.407610 0.00000  -0.267287 0.00000
 90 -12.406260 0.00000  -0.265937 0.00000
 91 -12.404910 0.00000  -0.264587 0.00000
 92 -12.403560 0.00000  -0.263237 0.00000
 93 -12.402210 0.00000  -0.261887 0.00000
 94 -12.400860 0.00000  -0.260537 0.00000
 95 -12.399510 0.00000  -0.259187 0.00000
 96 -12.398160 0.00000  -0.257837 0.00000
 97 -12.396810 0.00000  -0.256487 0.00000
 98 -12.395460 0.00000  -0.255137 0.00000
 99 -12.394110 0.00000  -0.253787 0.00000
100 -12.392760 0.00000  -0.252437 0.00000
