  1 -10.568967 0.00000  -8.544467 0.00000
  2 -10.567617 0.00000  -8.543117 0.00000
  3 -10.566267 0.00000  -8.541767 0.00000
  4 -10.564917 0.00000  -8.540417 0.00000
  5 -10.563567 0.00000  -8.539067 0.00000
  6 -10.562217 0.00000  -8.537717 0.00000
  7 -10.560867 0.00000  -8.536367 0.00000
  8 -10.559517 0.00000  -8.535017 0.00000
  9 -10.558167 0.00000  -8.533667 0.00000
 10 -10.556817 0.00000  -8.532317 0.00000
 11 -10.555467 0.00000  -8.530967 0.00000
 12 -10.554117 0.00000  -8.529617 0.00000
 13 -10.552767 0.00000  -8.528267 0.00000
 14 -10.551417 0.00000  -8.526917 0.00000
 15 -10.550067 0.00000  -8.525567 0.00000
 16 -10.548717 0.00000  -8.524217 0.00000
 17 -10.547367 0.00000  -8.522867 0.00000
 18 -10.546017 0.00000  -8.521517 0.00000
 19 -10.544667 0.00000  -8.520167 0.00000
 20 -10.543317 0.00000  -8.518817 0.00000
 21 -10.541967 0.00000  -8.517467 0.00000
 22 -10.540617 0.00000  -8.516117 0.00000
 23 -10.539267 0.00000  -8.514767 0.00000
 24 -10.537917 0.00000  -8.513417 0.00000
 25 -10.536567 0.00000  -8.512067 0.00000
 26 -10.535217 0.00000  -8.510717 0.00000
 27 -10.533867 0.00000  -8.509367 0.00000
 28 -10.532517 0.00007  -8.508017 0.00133
 29 -10.531167 0.00119  -8.506667 0.00810
 30 -10.529817 0.00283  -8.505317 0.02111
 31 -10.528467 0.00581  -8.503967 0.04706
 32 -10.527117 0.01820  -8.502617 0.08799
 33 -10.525767 0.04484  -8.501267 0.18650
 34 -10.524417 0.09694  -8.499917 0.31704
 35 -10.523067 0.22223  -8.498567 0.43696
 36 -10.521717 0.40326  -8.497217 0.53145
 37 -10.520367 0.53955  -8.495867 0.62321
 38 -10.519017 0.62720  -8.494517 0.69131
 39 -10.517667 0.71781  -8.493167 0.74925
 40 -10.516317 0.76595  -8.491817 0.81336
 41 -10.514967 0.81492  -8.490467 0.83976
 42 -10.513617 0.85646  -8.489117 0.88441
 43 -10.512267 0.88995  -8.487767 0.91671
 44 -10.510917 0.91394  -8.486417 0.92688
 45 -10.509567 0.94659  -8.485067 0.95558
 46 -10.508217 0.96519  -8.483717 0.96734
 47 -10.506867 0.96809  -8.482367 0.97541
 48 -10.505517 0.99424  -8.481017 0.98289
 49 -10.504167 0.99248  -8.479667 0.99184
 50 -10.502817 1.00000  -8.478317 1.00000
 51 -10.501467 0.99523  -8.476967 0.99728
 52 -10.500117 0.98624  -8.475617 0.99416
 53 -10.498767 0.97601  -8.474267 0.98691
 54 -10.497417 0.96834  -8.472917 0.96980
 55 -10.496067 0.94297  -8.471567 0.96467
 56 -10.494717 0.92814  -8.470217 0.96048
 57 -10.493367 0.89048  -8.468867 0.94274
 58 -10.492017 0.85067  -8.467517 0.90676
 59 -10.490667 0.81477  -8.466167 0.89478
 60 -10.489317 0.76421  -8.464817 0.85914
 61 -10.487967 0.69181  -8.463467 0.81786
 62 -10.486617 0.62452  -8.462117 0.76557
 63 -10.485267 0.53523  -8.460767 0.71143
 64 -10.483917 0.43790  -8.459417 0.64907
 65 -10.482567 0.30662  -8.458067 0.56085
 66 -10.481217 0.13882  -8.456717 0.46229
 67 -10.479867 0.02694  -8.455367 0.34600
 68 -10.478517 0.00045  -8.454017 0.21528
 69 -10.477167 0.00000  -8.452667 0.10468
 70 -10.475817 0.00000  -8.451317 0.05578
 71 -10.474467 0.00000  -8.449967 0.02187
 72 -10.473117 0.00000  -8.448617 0.00156
 73 -10.471767 0.00000  -8.447267 0.00000
 74 -10.470417 0.00000  -8.445917 0.00000
 75 -10.469067 0.00000  -8.444567 0.00000
 76 -10.467717 0.00000  -8.443217 0.00000
 77 -10.466367 0.00000  -8.441867 0.00000
 78 -10.465017 0.00000  -8.440517 0.00000
 79 -10.463667 0.00000  -8.439167 0.00000
 80 -10.462317 0.00000  -8.437817 0.00000
 81 -10.460967 0.00000  -8.436467 0.00000
 82 -10.459617 0.00000  -8.435117 0.00000
 83 -10.458267 0.00000  -8.433767 0.00000
 84 -10.456917 0.00000  -8.432417 0.00000
 85 -10.455567 0.00000  -8.431067 0.00000
 86 -10.454217 0.00000  -8.429717 0.00000
 87 -10.452867 0.00000  -8.428367 0.00000
 88 -10.451517 0.00000  -8.427017 0.00000
 89 -10.450167 0.00000  -8.425667 0.00000
 90 -10.448817 0.00000  -8.424317 0.00000
 91 -10.447467 0.00000  -8.422967 0.00000
 92 -10.446117 0.00000  -8.421617 0.00000
 93 -10.444767 0.00000  -8.420267 0.00000
 94 -10.443417 0.00000  -8.418917 0.00000
 95 -10.442067 0.00000  -8.417567 0.00000
 96 -10.440717 0.00000  -8.416217 0.00000
 97 -10.439367 0.00000  -8.414867 0.00000
 98 -10.438017 0.00000  -8.413517 0.00000
 99 -10.436667 0.00000  -8.412167 0.00000
100 -10.435317 0.00000  -8.410817 0.00000
