  1 -11.068315 0.00000  10.365213 0.00000
  2 -11.066965 0.00000  10.366563 0.00000
  3 -11.065615 0.00000  10.367913 0.00000
  4 -11.064265 0.00000  10.369263 0.00000
  5 -11.062915 0.00000  10.370613 0.00000
  6 -11.061565 0.00000  10.371963 0.00000
  7 -11.060215 0.00000  10.373313 0.00000
  8 -11.058865 0.00000  10.374663 0.00000
  9 -11.057515 0.00000  10.376013 0.00000
 10 -11.056165 0.00000  10.377363 0.00000
 11 -11.054815 0.00000  10.378713 0.00000
 12 -11.053465 0.00000  10.380063 0.00000
 13 -11.052115 0.00000  10.381413 0.00000
 14 -11.050765 0.00000  10.382763 0.00000
 15 -11.049415 0.00000  10.384113 0.00000
 16 -11.048065 0.00000  10.385463 0.00000
 17 -11.046715 0.00000  10.386813 0.00000
 18 -11.045365 0.00000  10.388163 0.00000
 19 -11.044015 0.00000  10.389513 0.00000
 20 -11.042665 0.00000  10.390863 0.00000
 21 -11.041315 0.00000  10.392213 0.00000
 22 -11.039965 0.00000  10.393563 0.00000
 23 -11.038615 0.00000  10.394913 0.00000
 24 -11.037265 0.00000  10.396263 0.00000
 25 -11.035915 0.00000  10.397613 0.00006
 26 -11.034565 0.00000  10.398963 0.00308
 27 -11.033215 0.00000  10.400313 0.01408
 28 -11.031865 0.00000  10.401663 0.05613
 29 -11.030515 0.00037  10.403013 0.11992
 30 -11.029165 0.00318  10.404363 0.20701
 31 -11.027815 0.01158  10.405713 0.30337
 32 -11.026465 0.02476  10.407063 0.40970
 33 -11.025115 0.04924  10.408413 0.49796
 34 -11.023765 0.08250  10.409763 0.59099
 35 -11.022415 0.18556  10.411113 0.67617
 36 -11.021065 0.31569  10.412463 0.74858
 37 -11.019715 0.43175  10.413813 0.79618
 38 -11.018365 0.55532  10.415163 0.84515
 39 -11.017015 0.65542  10.416513 0.89026
 40 -11.015665 0.73049  10.417863 0.90802
 41 -11.014315 0.79137  10.419213 0.93691
 42 -11.012965 0.83224  10.420563 0.96399
 43 -11.011615 0.87315  10.421913 0.98265
 44 -11.010265 0.90236  10.423263 0.97841
 45 -11.008915 0.94052  10.424613 0.99163
 46 -11.007565 0.95561  10.425963 0.99393
 47 -11.006215 0.97164  10.427313 0.99457
 48 -11.004865 0.97922  10.428663 0.99429
 49 -11.003515 0.98431  10.430013 1.00000
 50 -11.002165 1.00000  10.431363 0.98794
 51 -11.000815 0.99329  10.432713 0.97694
 52 -10.999465 0.99480  10.434063 0.96965
 53 -10.998115 0.98451  10.435413 0.96039
 54 -10.996765 0.96803  10.436763 0.92366
 55 -10.995415 0.95424  10.438113 0.90326
 56 -10.994065 0.93440  10.439463 0.87373
 57 -10.992715 0.90810  10.440813 0.82969
 58 -10.991365 0.88324  10.442163 0.78728
 59 -10.990015 0.84280  10.443513 0.73441
 60 -10.988665 0.78946  10.444863 0.66414
 61 -10.987315 0.72928  10.446213 0.57641
 62 -10.985965 0.66320  10.447563 0.46791
 63 -10.984615 0.57560  10.448913 0.35914
 64 -10.983265 0.47090  10.450263 0.25439
 65 -10.981915 0.33670  10.451613 0.17109
 66 -10.980565 0.21775  10.452963 0.10342
 67 -10.979215 0.12352  10.454313 0.05929
 68 -10.977865 0.04534  10.455663 0.02611
 69 -10.976515 0.00186  10.457013 0.00485
 70 -10.975165 0.00000  10.458363 0.00000
 71 -10.973815 0.00000  10.459713 0.00000
 72 -10.972465 0.00000  10.461063 0.00000
 73 -10.971115 0.00000  10.462413 0.00000
 74 -10.969765 0.00000  10.463763 0.00000
 75 -10.968415 0.00000  10.465113 0.00000
 76 -10.967065 0.00000  10.466463 0.00000
 77 -10.965715 0.00000  10.467813 0.00000
 78 -10.964365 0.00000  10.469163 0.00000
 79 -10.963015 0.00000  10.470513 0.00000
 80 -10.961665 0.00000  10.471863 0.00000
 81 -10.960315 0.00000  10.473213 0.00000
 82 -10.958965 0.00000  10.474563 0.00000
 83 -10.957615 0.00000  10.475913 0.00000
 84 -10.956265 0.00000  10.477263 0.00000
 85 -10.954915 0.00000  10.478613 0.00000
 86 -10.953565 0.00000  10.479963 0.00000
 87 -10.952215 0.00000  10.481313 0.00000
 88 -10.950865 0.00000  10.482663 0.00000
 89 -10.949515 0.00000  10.484013 0.00000
 90 -10.948165 0.00000  10.485363 0.00000
 91 -10.946815 0.00000  10.486713 0.00000
 92 -10.945465 0.00000  10.488063 0.00000
 93 -10.944115 0.00000  10.489413 0.00000
 94 -10.942765 0.00000  10.490763 0.00000
 95 -10.941415 0.00000  10.492113 0.00000
 96 -10.940065 0.00000  10.493463 0.00000
 97 -10.938715 0.00000  10.494813 0.00000
 98 -10.937365 0.00000  10.496163 0.00000
 99 -10.936015 0.00000  10.497513 0.00000
100 -10.934665 0.00000  10.498863 0.00000
