  1 -11.060090 0.00000  -0.313992 0.00000
  2 -11.058740 0.00000  -0.312642 0.00000
  3 -11.057390 0.00000  -0.311292 0.00000
  4 -11.056040 0.00000  -0.309942 0.00000
  5 -11.054690 0.00000  -0.308592 0.00000
  6 -11.053340 0.00000  -0.307242 0.00000
  7 -11.051990 0.00000  -0.305892 0.00000
  8 -11.050640 0.00000  -0.304542 0.00000
  9 -11.049290 0.00000  -0.303192 0.00000
 10 -11.047940 0.00000  -0.301842 0.00000
 11 -11.046590 0.00000  -0.300492 0.00000
 12 -11.045240 0.00000  -0.299142 0.00000
 13 -11.043890 0.00000  -0.297792 0.00000
 14 -11.042540 0.00000  -0.296442 0.00000
 15 -11.041190 0.00000  -0.295092 0.00000
 16 -11.039840 0.00000  -0.293742 0.00000
 17 -11.038490 0.00000  -0.292392 0.00000
 18 -11.037140 0.00000  -0.291042 0.00000
 19 -11.035790 0.00000  -0.289692 0.00000
 20 -11.034440 0.00000  -0.288342 0.00000
 21 -11.033090 0.00000  -0.286992 0.00000
 22 -11.031740 0.00000  -0.285642 0.00000
 23 -11.030390 0.00000  -0.284292 0.00000
 24 -11.029040 0.00000  -0.282942 0.00000
 25 -11.027690 0.00000  -0.281592 0.00000
 26 -11.026340 0.00035  -0.280242 0.00000
 27 -11.024990 0.00171  -0.278892 0.00000
 28 -11.023640 0.00415  -0.277542 0.00000
 29 -11.022290 0.00721  -0.276192 0.00204
 30 -11.020940 0.01277  -0.274842 0.03351
 31 -11.019590 0.01956  -0.273492 0.09462
 32 -11.018240 0.03198  -0.272142 0.18969
 33 -11.016890 0.06684  -0.270792 0.30617
 34 -11.015540 0.14701  -0.269442 0.43063
 35 -11.014190 0.25366  -0.268092 0.54498
 36 -11.012840 0.38439  -0.266742 0.63350
 37 -11.011490 0.51405  -0.265392 0.70599
 38 -11.010140 0.60073  -0.264042 0.75509
 39 -11.008790 0.69945  -0.262692 0.80697
 40 -11.007440 0.76411  -0.261342 0.84595
 41 -11.006090 0.80916  -0.259992 0.88783
 42 -11.004740 0.85289  -0.258642 0.90027
 43 -11.003390 0.88460  -0.257292 0.93400
 44 -11.002040 0.92423  -0.255942 0.95229
 45 -11.000690 0.94088  -0.254592 0.97530
 46 -10.999340 0.96069  -0.253242 0.98486
 47 -10.997990 0.98261  -0.251892 0.98091
 48 -10.996640 0.99247  -0.250542 0.98555
 49 -10.995290 0.99193  -0.249192 1.00000
 50 -10.993940 0.98951  -0.247842 0.98751
 51 -10.992590 1.00000  -0.246492 0.99461
 52 -10.991240 0.98126  -0.245142 0.98837
 53 -10.989890 0.98119  -0.243792 0.97420
 54 -10.988540 0.96742  -0.242442 0.96425
 55 -10.987190 0.94563  -0.241092 0.94278
 56 -10.985840 0.92662  -0.239742 0.93748
 57 -10.984490 0.88241  -0.238392 0.89629
 58 -10.983140 0.85289  -0.237042 0.86916
 59 -10.981790 0.80195  -0.235692 0.83123
 60 -10.980440 0.75047  -0.234342 0.79332
 61 -10.979090 0.69925  -0.232992 0.74038
 62 -10.977740 0.62063  -0.231642 0.68226
 63 -10.976390 0.52819  -0.230292 0.59869
 64 -10.975040 0.41103  -0.228942 0.50815
 65 -10.973690 0.29148  -0.227592 0.38200
 66 -10.972340 0.18177  -0.226242 0.26779
 67 -10.970990 0.08846  -0.224892 0.15582
 68 -10.969640 0.03727  -0.223542 0.07120
 69 -10.968290 0.00562  -0.222192 0.02351
 70 -10.966940 0.00000  -0.220842 0.00298
 71 -10.965590 0.00000  -0.219492 0.00017
 72 -10.964240 0.00000  -0.218142 0.00000
 73 -10.962890 0.00000  -0.216792 0.00000
 74 -10.961540 0.00000  -0.215442 0.00000
 75 -10.960190 0.00000  -0.214092 0.00000
 76 -10.958840 0.00000  -0.212742 0.00000
 77 -10.957490 0.00000  -0.211392 0.00000
 78 -10.956140 0.00000  -0.210042 0.00000
 79 -10.954790 0.00000  -0.208692 0.00000
 80 -10.953440 0.00000  -0.207342 0.00000
 81 -10.952090 0.00000  -0.205992 0.00000
 82 -10.950740 0.00000  -0.204642 0.00000
 83 -10.949390 0.00000  -0.203292 0.00000
 84 -10.948040 0.00000  -0.201942 0.00000
 85 -10.946690 0.00000  -0.200592 0.00000
 86 -10.945340 0.00000  -0.199242 0.00000
 87 -10.943990 0.00000  -0.197892 0.00000
 88 -10.942640 0.00000  -0.196542 0.00000
 89 -10.941290 0.00000  -0.195192 0.00000
 90 -10.939940 0.00000  -0.193842 0.00000
 91 -10.938590 0.00000  -0.192492 0.00000
 92 -10.937240 0.00000  -0.191142 0.00000
 93 -10.935890 0.00000  -0.189792 0.00000
 94 -10.934540 0.00000  -0.188442 0.00000
 95 -10.933190 0.00000  -0.187092 0.00000
 96 -10.931840 0.00000  -0.185742 0.00000
 97 -10.930490 0.00000  -0.184392 0.00000
 98 -10.929140 0.00000  -0.183042 0.00000
 99 -10.927790 0.00000  -0.181692 0.00000
100 -10.926440 0.00000  -0.180342 0.00000
