  1 -12.531320 0.00000   6.893870 0.00000
  2 -12.529970 0.00000   6.895220 0.00000
  3 -12.528620 0.00000   6.896570 0.00000
  4 -12.527270 0.00000   6.897920 0.00000
  5 -12.525920 0.00000   6.899270 0.00000
  6 -12.524570 0.00000   6.900620 0.00000
  7 -12.523220 0.00000   6.901970 0.00000
  8 -12.521870 0.00000   6.903320 0.00000
  9 -12.520520 0.00000   6.904670 0.00000
 10 -12.519170 0.00000   6.906020 0.00000
 11 -12.517820 0.00000   6.907370 0.00000
 12 -12.516470 0.00000   6.908720 0.00000
 13 -12.515120 0.00000   6.910070 0.00000
 14 -12.513770 0.00000   6.911420 0.00000
 15 -12.512420 0.00000   6.912770 0.00000
 16 -12.511070 0.00000   6.914120 0.00000
 17 -12.509720 0.00000   6.915470 0.00000
 18 -12.508370 0.00000   6.916820 0.00000
 19 -12.507020 0.00000   6.918170 0.00000
 20 -12.505670 0.00000   6.919520 0.00000
 21 -12.504320 0.00000   6.920870 0.00000
 22 -12.502970 0.00000   6.922220 0.00000
 23 -12.501620 0.00000   6.923570 0.00000
 24 -12.500270 0.00000   6.924920 0.00000
 25 -12.498920 0.00000   6.926270 0.00000
 26 -12.497570 0.00000   6.927620 0.00251
 27 -12.496220 0.00005   6.928970 0.02417
 28 -12.494870 0.00091   6.930320 0.05838
 29 -12.493520 0.00316   6.931670 0.10136
 30 -12.492170 0.00629   6.933020 0.16186
 31 -12.490820 0.01296   6.934370 0.23739
 32 -12.489470 0.02445   6.935720 0.32733
 33 -12.488120 0.05002   6.937070 0.43393
 34 -12.486770 0.11126   6.938420 0.53512
 35 -12.485420 0.21105   6.939770 0.62065
 36 -12.484070 0.33135   6.941120 0.69185
 37 -12.482720 0.45056   6.942470 0.76215
 38 -12.481370 0.55080   6.943820 0.81488
 39 -12.480020 0.63455   6.945170 0.85603
 40 -12.478670 0.72392   6.946520 0.88172
 41 -12.477320 0.78391   6.947870 0.91425
 42 -12.475970 0.83867   6.949220 0.93261
 43 -12.474620 0.87768   6.950570 0.95984
 44 -12.473270 0.90241   6.951920 0.97255
 45 -12.471920 0.94216   6.953270 0.97946
 46 -12.470570 0.95714   6.954620 0.99143
 47 -12.469220 0.98428   6.955970 1.00000
 48 -12.467870 0.99262   6.957320 0.99146
 49 -12.466520 0.98199   6.958670 0.99796
 50 -12.465170 1.00000   6.960020 0.99361
 51 -12.463820 0.99322   6.961370 0.98787
 52 -12.462470 0.99346   6.962720 0.97285
 53 -12.461120 0.98384   6.964070 0.95496
 54 -12.459770 0.97370   6.965420 0.92671
 55 -12.458420 0.94996   6.966770 0.91519
 56 -12.457070 0.92987   6.968120 0.88087
 57 -12.455720 0.90524   6.969470 0.84840
 58 -12.454370 0.86971   6.970820 0.81639
 59 -12.453020 0.83247   6.972170 0.75759
 60 -12.451670 0.76963   6.973520 0.69163
 61 -12.450320 0.71521   6.974870 0.61001
 62 -12.448970 0.64839   6.976220 0.52164
 63 -12.447620 0.54954   6.977570 0.43997
 64 -12.446270 0.43208   6.978920 0.34134
 65 -12.444920 0.32101   6.980270 0.25291
 66 -12.443570 0.20681   6.981620 0.16608
 67 -12.442220 0.11020   6.982970 0.09772
 68 -12.440870 0.04930   6.984320 0.04962
 69 -12.439520 0.00780   6.985670 0.01874
 70 -12.438170 0.00000   6.987020 0.00218
 71 -12.436820 0.00000   6.988370 0.00000
 72 -12.435470 0.00000   6.989720 0.00000
 73 -12.434120 0.00000   6.991070 0.00000
 74 -12.432770 0.00000   6.992420 0.00000
 75 -12.431420 0.00000   6.993770 0.00000
 76 -12.430070 0.00000   6.995120 0.00000
 77 -12.428720 0.00000   6.996470 0.00000
 78 -12.427370 0.00000   6.997820 0.00000
 79 -12.426020 0.00000   6.999170 0.00000
 80 -12.424670 0.00000   7.000520 0.00000
 81 -12.423320 0.00000   7.001870 0.00000
 82 -12.421970 0.00000   7.003220 0.00000
 83 -12.420620 0.00000   7.004570 0.00000
 84 -12.419270 0.00000   7.005920 0.00000
 85 -12.417920 0.00000   7.007270 0.00000
 86 -12.416570 0.00000   7.008620 0.00000
 87 -12.415220 0.00000   7.009970 0.00000
 88 -12.413870 0.00000   7.011320 0.00000
 89 -12.412520 0.00000   7.012670 0.00000
 90 -12.411170 0.00000   7.014020 0.00000
 91 -12.409820 0.00000   7.015370 0.00000
 92 -12.408470 0.00000   7.016720 0.00000
 93 -12.407120 0.00000   7.018070 0.00000
 94 -12.405770 0.00000   7.019420 0.00000
 95 -12.404420 0.00000   7.020770 0.00000
 96 -12.403070 0.00000   7.022120 0.00000
 97 -12.401720 0.00000   7.023470 0.00000
 98 -12.400370 0.00000   7.024820 0.00000
 99 -12.399020 0.00000   7.026170 0.00000
100 -12.397670 0.00000   7.027520 0.00000
