  1 -11.556174 0.00000   8.054999 0.00000
  2 -11.554824 0.00000   8.056349 0.00000
  3 -11.553474 0.00000   8.057699 0.00000
  4 -11.552124 0.00000   8.059049 0.00000
  5 -11.550774 0.00000   8.060399 0.00000
  6 -11.549424 0.00000   8.061749 0.00000
  7 -11.548074 0.00000   8.063099 0.00000
  8 -11.546724 0.00000   8.064449 0.00000
  9 -11.545374 0.00000   8.065799 0.00000
 10 -11.544024 0.00000   8.067149 0.00000
 11 -11.542674 0.00000   8.068499 0.00000
 12 -11.541324 0.00000   8.069849 0.00000
 13 -11.539974 0.00000   8.071199 0.00000
 14 -11.538624 0.00000   8.072549 0.00000
 15 -11.537274 0.00000   8.073899 0.00000
 16 -11.535924 0.00000   8.075249 0.00000
 17 -11.534574 0.00000   8.076599 0.00000
 18 -11.533224 0.00000   8.077949 0.00000
 19 -11.531874 0.00000   8.079299 0.00000
 20 -11.530524 0.00000   8.080649 0.00000
 21 -11.529174 0.00000   8.081999 0.00000
 22 -11.527824 0.00000   8.083349 0.00000
 23 -11.526474 0.00000   8.084699 0.00000
 24 -11.525124 0.00000   8.086049 0.00000
 25 -11.523774 0.00000   8.087399 0.00000
 26 -11.522424 0.00000   8.088749 0.00000
 27 -11.521074 0.00000   8.090099 0.00333
 28 -11.519724 0.00000   8.091449 0.03447
 29 -11.518374 0.00069   8.092799 0.08349
 30 -11.517024 0.00282   8.094149 0.15461
 31 -11.515674 0.00841   8.095499 0.25105
 32 -11.514324 0.02231   8.096849 0.35425
 33 -11.512974 0.04339   8.098199 0.46144
 34 -11.511624 0.10713   8.099549 0.55986
 35 -11.510274 0.21050   8.100899 0.64355
 36 -11.508924 0.33792   8.102249 0.71704
 37 -11.507574 0.45927   8.103599 0.77526
 38 -11.506224 0.56047   8.104949 0.81626
 39 -11.504874 0.66104   8.106299 0.85302
 40 -11.503524 0.73315   8.107649 0.90042
 41 -11.502174 0.79402   8.108999 0.91962
 42 -11.500824 0.83063   8.110349 0.94944
 43 -11.499474 0.87338   8.111699 0.96542
 44 -11.498124 0.90910   8.113049 0.98418
 45 -11.496774 0.93212   8.114399 0.98253
 46 -11.495424 0.94949   8.115749 0.99807
 47 -11.494074 0.97704   8.117099 0.99843
 48 -11.492724 0.98783   8.118449 1.00000
 49 -11.491374 0.98934   8.119799 0.99422
 50 -11.490024 0.99495   8.121149 0.98790
 51 -11.488674 1.00000   8.122499 0.98548
 52 -11.487324 0.98617   8.123849 0.97349
 53 -11.485974 0.97732   8.125199 0.95798
 54 -11.484624 0.96901   8.126549 0.93189
 55 -11.483274 0.94605   8.127899 0.91499
 56 -11.481924 0.93917   8.129249 0.88113
 57 -11.480574 0.90625   8.130599 0.83872
 58 -11.479224 0.86276   8.131949 0.81017
 59 -11.477874 0.82504   8.133299 0.76071
 60 -11.476524 0.78116   8.134649 0.70197
 61 -11.475174 0.72694   8.135999 0.62095
 62 -11.473824 0.65634   8.137349 0.51710
 63 -11.472474 0.56034   8.138699 0.41578
 64 -11.471124 0.44962   8.140049 0.31046
 65 -11.469774 0.31939   8.141399 0.20066
 66 -11.468424 0.20600   8.142749 0.13055
 67 -11.467074 0.10973   8.144099 0.07459
 68 -11.465724 0.03955   8.145449 0.03392
 69 -11.464374 0.00331   8.146799 0.00975
 70 -11.463024 0.00000   8.148149 0.00025
 71 -11.461674 0.00000   8.149499 0.00000
 72 -11.460324 0.00000   8.150849 0.00000
 73 -11.458974 0.00000   8.152199 0.00000
 74 -11.457624 0.00000   8.153549 0.00000
 75 -11.456274 0.00000   8.154899 0.00000
 76 -11.454924 0.00000   8.156249 0.00000
 77 -11.453574 0.00000   8.157599 0.00000
 78 -11.452224 0.00000   8.158949 0.00000
 79 -11.450874 0.00000   8.160299 0.00000
 80 -11.449524 0.00000   8.161649 0.00000
 81 -11.448174 0.00000   8.162999 0.00000
 82 -11.446824 0.00000   8.164349 0.00000
 83 -11.445474 0.00000   8.165699 0.00000
 84 -11.444124 0.00000   8.167049 0.00000
 85 -11.442774 0.00000   8.168399 0.00000
 86 -11.441424 0.00000   8.169749 0.00000
 87 -11.440074 0.00000   8.171099 0.00000
 88 -11.438724 0.00000   8.172449 0.00000
 89 -11.437374 0.00000   8.173799 0.00000
 90 -11.436024 0.00000   8.175149 0.00000
 91 -11.434674 0.00000   8.176499 0.00000
 92 -11.433324 0.00000   8.177849 0.00000
 93 -11.431974 0.00000   8.179199 0.00000
 94 -11.430624 0.00000   8.180549 0.00000
 95 -11.429274 0.00000   8.181899 0.00000
 96 -11.427924 0.00000   8.183249 0.00000
 97 -11.426574 0.00000   8.184599 0.00000
 98 -11.425224 0.00000   8.185949 0.00000
 99 -11.423874 0.00000   8.187299 0.00000
100 -11.422524 0.00000   8.188649 0.00000
