  1 -10.567622 0.00000  -4.096437 0.00000
  2 -10.566272 0.00000  -4.095087 0.00000
  3 -10.564922 0.00000  -4.093737 0.00000
  4 -10.563572 0.00000  -4.092387 0.00000
  5 -10.562222 0.00000  -4.091037 0.00000
  6 -10.560872 0.00000  -4.089687 0.00000
  7 -10.559522 0.00000  -4.088337 0.00000
  8 -10.558172 0.00000  -4.086987 0.00000
  9 -10.556822 0.00000  -4.085637 0.00000
 10 -10.555472 0.00000  -4.084287 0.00000
 11 -10.554122 0.00000  -4.082937 0.00000
 12 -10.552772 0.00000  -4.081587 0.00000
 13 -10.551422 0.00000  -4.080237 0.00000
 14 -10.550072 0.00000  -4.078887 0.00000
 15 -10.548722 0.00000  -4.077537 0.00000
 16 -10.547372 0.00000  -4.076187 0.00000
 17 -10.546022 0.00000  -4.074837 0.00000
 18 -10.544672 0.00000  -4.073487 0.00000
 19 -10.543322 0.00000  -4.072137 0.00000
 20 -10.541972 0.00000  -4.070787 0.00000
 21 -10.540622 0.00000  -4.069437 0.00000
 22 -10.539272 0.00000  -4.068087 0.00000
 23 -10.537922 0.00000  -4.066737 0.00000
 24 -10.536572 0.00000  -4.065387 0.00000
 25 -10.535222 0.00000  -4.064037 0.00000
 26 -10.533872 0.00005  -4.062687 0.00000
 27 -10.532522 0.00074  -4.061337 0.00000
 28 -10.531172 0.00257  -4.059987 0.00000
 29 -10.529822 0.00435  -4.058637 0.00020
 30 -10.528472 0.00886  -4.057287 0.00485
 31 -10.527122 0.01388  -4.055937 0.02182
 32 -10.525772 0.02315  -4.054587 0.09126
 33 -10.524422 0.03980  -4.053237 0.23549
 34 -10.523072 0.11792  -4.051887 0.39332
 35 -10.521722 0.24709  -4.050537 0.52222
 36 -10.520372 0.40167  -4.049187 0.61159
 37 -10.519022 0.53255  -4.047837 0.67860
 38 -10.517672 0.63605  -4.046487 0.74269
 39 -10.516322 0.71026  -4.045137 0.79865
 40 -10.514972 0.76419  -4.043787 0.82971
 41 -10.513622 0.81010  -4.042437 0.86544
 42 -10.512272 0.84864  -4.041087 0.89425
 43 -10.510922 0.88938  -4.039737 0.92736
 44 -10.509572 0.92151  -4.038387 0.95288
 45 -10.508222 0.94481  -4.037037 0.95934
 46 -10.506872 0.94968  -4.035687 0.97135
 47 -10.505522 0.97885  -4.034337 0.98883
 48 -10.504172 0.98862  -4.032987 0.98902
 49 -10.502822 0.98622  -4.031637 1.00000
 50 -10.501472 0.99174  -4.030287 0.99571
 51 -10.500122 1.00000  -4.028937 0.99317
 52 -10.498772 0.97650  -4.027587 0.98467
 53 -10.497422 0.96980  -4.026237 0.98060
 54 -10.496072 0.95471  -4.024887 0.96692
 55 -10.494722 0.94046  -4.023537 0.96286
 56 -10.493372 0.91357  -4.022187 0.94048
 57 -10.492022 0.89168  -4.020837 0.92504
 58 -10.490672 0.84547  -4.019487 0.89470
 59 -10.489322 0.80725  -4.018137 0.86262
 60 -10.487972 0.74813  -4.016787 0.82501
 61 -10.486622 0.69784  -4.015437 0.77309
 62 -10.485272 0.62094  -4.014087 0.73085
 63 -10.483922 0.52605  -4.012737 0.67643
 64 -10.482572 0.42000  -4.011387 0.59423
 65 -10.481222 0.27391  -4.010037 0.49837
 66 -10.479872 0.15290  -4.008687 0.36292
 67 -10.478522 0.06006  -4.007337 0.20425
 68 -10.477172 0.01591  -4.005987 0.07688
 69 -10.475822 0.00045  -4.004637 0.01429
 70 -10.474472 0.00000  -4.003287 0.00123
 71 -10.473122 0.00000  -4.001937 0.00011
 72 -10.471772 0.00000  -4.000587 0.00000
 73 -10.470422 0.00000  -3.999237 0.00000
 74 -10.469072 0.00000  -3.997887 0.00000
 75 -10.467722 0.00000  -3.996537 0.00000
 76 -10.466372 0.00000  -3.995187 0.00000
 77 -10.465022 0.00000  -3.993837 0.00000
 78 -10.463672 0.00000  -3.992487 0.00000
 79 -10.462322 0.00000  -3.991137 0.00000
 80 -10.460972 0.00000  -3.989787 0.00000
 81 -10.459622 0.00000  -3.988437 0.00000
 82 -10.458272 0.00000  -3.987087 0.00000
 83 -10.456922 0.00000  -3.985737 0.00000
 84 -10.455572 0.00000  -3.984387 0.00000
 85 -10.454222 0.00000  -3.983037 0.00000
 86 -10.452872 0.00000  -3.981687 0.00000
 87 -10.451522 0.00000  -3.980337 0.00000
 88 -10.450172 0.00000  -3.978987 0.00000
 89 -10.448822 0.00000  -3.977637 0.00000
 90 -10.447472 0.00000  -3.976287 0.00000
 91 -10.446122 0.00000  -3.974937 0.00000
 92 -10.444772 0.00000  -3.973587 0.00000
 93 -10.443422 0.00000  -3.972237 0.00000
 94 -10.442072 0.00000  -3.970887 0.00000
 95 -10.440722 0.00000  -3.969537 0.00000
 96 -10.439372 0.00000  -3.968187 0.00000
 97 -10.438022 0.00000  -3.966837 0.00000
 98 -10.436672 0.00000  -3.965487 0.00000
 99 -10.435322 0.00000  -3.964137 0.00000
100 -10.433972 0.00000  -3.962787 0.00000
