  1 -11.561359 0.00000  11.516597 0.00000
  2 -11.560009 0.00000  11.517947 0.00000
  3 -11.558659 0.00000  11.519297 0.00000
  4 -11.557309 0.00000  11.520647 0.00000
  5 -11.555959 0.00000  11.521997 0.00000
  6 -11.554609 0.00000  11.523347 0.00000
  7 -11.553259 0.00000  11.524697 0.00000
  8 -11.551909 0.00000  11.526047 0.00000
  9 -11.550559 0.00000  11.527397 0.00000
 10 -11.549209 0.00000  11.528747 0.00000
 11 -11.547859 0.00000  11.530097 0.00000
 12 -11.546509 0.00000  11.531447 0.00000
 13 -11.545159 0.00000  11.532797 0.00000
 14 -11.543809 0.00000  11.534147 0.00000
 15 -11.542459 0.00000  11.535497 0.00000
 16 -11.541109 0.00000  11.536847 0.00000
 17 -11.539759 0.00000  11.538197 0.00000
 18 -11.538409 0.00000  11.539547 0.00000
 19 -11.537059 0.00000  11.540897 0.00000
 20 -11.535709 0.00000  11.542247 0.00000
 21 -11.534359 0.00000  11.543597 0.00000
 22 -11.533009 0.00000  11.544947 0.00000
 23 -11.531659 0.00000  11.546297 0.00000
 24 -11.530309 0.00000  11.547647 0.00000
 25 -11.528959 0.00000  11.548997 0.00067
 26 -11.527609 0.00000  11.550347 0.00702
 27 -11.526259 0.00000  11.551697 0.04062
 28 -11.524909 0.00005  11.553047 0.09725
 29 -11.523559 0.00157  11.554397 0.17605
 30 -11.522209 0.00780  11.555747 0.25569
 31 -11.520859 0.01715  11.557097 0.33616
 32 -11.519509 0.03183  11.558447 0.42775
 33 -11.518159 0.05162  11.559797 0.52383
 34 -11.516809 0.08609  11.561147 0.60760
 35 -11.515459 0.16668  11.562497 0.68683
 36 -11.514109 0.28488  11.563847 0.75604
 37 -11.512759 0.40849  11.565197 0.81258
 38 -11.511409 0.52529  11.566547 0.84552
 39 -11.510059 0.63362  11.567897 0.88942
 40 -11.508709 0.71724  11.569247 0.91983
 41 -11.507359 0.77273  11.570597 0.94155
 42 -11.506009 0.83028  11.571947 0.96010
 43 -11.504659 0.86752  11.573297 0.96542
 44 -11.503309 0.90374  11.574647 0.98245
 45 -11.501959 0.92689  11.575997 0.98996
 46 -11.500609 0.96284  11.577347 0.99739
 47 -11.499259 0.97231  11.578697 0.99215
 48 -11.497909 0.99038  11.580047 1.00000
 49 -11.496559 0.99270  11.581397 0.97909
 50 -11.495209 0.99983  11.582747 0.97831
 51 -11.493859 0.99175  11.584097 0.97690
 52 -11.492509 0.99933  11.585447 0.95217
 53 -11.491159 1.00000  11.586797 0.93936
 54 -11.489809 0.97114  11.588147 0.90971
 55 -11.488459 0.96077  11.589497 0.89308
 56 -11.487109 0.93554  11.590847 0.85681
 57 -11.485759 0.91817  11.592197 0.82062
 58 -11.484409 0.88352  11.593547 0.76031
 59 -11.483059 0.84384  11.594897 0.70618
 60 -11.481709 0.80049  11.596247 0.61991
 61 -11.480359 0.73250  11.597597 0.51296
 62 -11.479009 0.65677  11.598947 0.41233
 63 -11.477659 0.57599  11.600297 0.32136
 64 -11.476309 0.48189  11.601647 0.25053
 65 -11.474959 0.35681  11.602997 0.17400
 66 -11.473609 0.23149  11.604347 0.11333
 67 -11.472259 0.14011  11.605697 0.06228
 68 -11.470909 0.06635  11.607047 0.02900
 69 -11.469559 0.01087  11.608397 0.00754
 70 -11.468209 0.00000  11.609747 0.00014
 71 -11.466859 0.00000  11.611097 0.00000
 72 -11.465509 0.00000  11.612447 0.00000
 73 -11.464159 0.00000  11.613797 0.00000
 74 -11.462809 0.00000  11.615147 0.00000
 75 -11.461459 0.00000  11.616497 0.00000
 76 -11.460109 0.00000  11.617847 0.00000
 77 -11.458759 0.00000  11.619197 0.00000
 78 -11.457409 0.00000  11.620547 0.00000
 79 -11.456059 0.00000  11.621897 0.00000
 80 -11.454709 0.00000  11.623247 0.00000
 81 -11.453359 0.00000  11.624597 0.00000
 82 -11.452009 0.00000  11.625947 0.00000
 83 -11.450659 0.00000  11.627297 0.00000
 84 -11.449309 0.00000  11.628647 0.00000
 85 -11.447959 0.00000  11.629997 0.00000
 86 -11.446609 0.00000  11.631347 0.00000
 87 -11.445259 0.00000  11.632697 0.00000
 88 -11.443909 0.00000  11.634047 0.00000
 89 -11.442559 0.00000  11.635397 0.00000
 90 -11.441209 0.00000  11.636747 0.00000
 91 -11.439859 0.00000  11.638097 0.00000
 92 -11.438509 0.00000  11.639447 0.00000
 93 -11.437159 0.00000  11.640797 0.00000
 94 -11.435809 0.00000  11.642147 0.00000
 95 -11.434459 0.00000  11.643497 0.00000
 96 -11.433109 0.00000  11.644847 0.00000
 97 -11.431759 0.00000  11.646197 0.00000
 98 -11.430409 0.00000  11.647547 0.00000
 99 -11.429059 0.00000  11.648897 0.00000
100 -11.427709 0.00000  11.650247 0.00000
