  1  -3.998802 0.00000  -1.947770 0.00000
  2  -3.997452 0.00000  -1.946420 0.00000
  3  -3.996102 0.00000  -1.945070 0.00000
  4  -3.994752 0.00000  -1.943720 0.00000
  5  -3.993402 0.00000  -1.942370 0.00000
  6  -3.992052 0.00000  -1.941020 0.00000
  7  -3.990702 0.00000  -1.939670 0.00000
  8  -3.989352 0.00000  -1.938320 0.00000
  9  -3.988002 0.00000  -1.936970 0.00000
 10  -3.986652 0.00000  -1.935620 0.00000
 11  -3.985302 0.00000  -1.934270 0.00000
 12  -3.983952 0.00000  -1.932920 0.00000
 13  -3.982602 0.00000  -1.931570 0.00000
 14  -3.981252 0.00000  -1.930220 0.00000
 15  -3.979902 0.00000  -1.928870 0.00000
 16  -3.978552 0.00000  -1.927520 0.00000
 17  -3.977202 0.00000  -1.926170 0.00000
 18  -3.975852 0.00000  -1.924820 0.00000
 19  -3.974502 0.00000  -1.923470 0.00000
 20  -3.973152 0.00000  -1.922120 0.00000
 21  -3.971802 0.00000  -1.920770 0.00000
 22  -3.970452 0.00000  -1.919420 0.00000
 23  -3.969102 0.00000  -1.918070 0.00000
 24  -3.967752 0.00000  -1.916720 0.00000
 25  -3.966402 0.00000  -1.915370 0.00000
 26  -3.965052 0.00000  -1.914020 0.00000
 27  -3.963702 0.00000  -1.912670 0.00206
 28  -3.962352 0.00000  -1.911320 0.01314
 29  -3.961002 0.00037  -1.909970 0.02739
 30  -3.959652 0.00494  -1.908620 0.05453
 31  -3.958302 0.02474  -1.907270 0.08479
 32  -3.956952 0.08472  -1.905920 0.13727
 33  -3.955602 0.15503  -1.904570 0.25656
 34  -3.954252 0.22835  -1.903220 0.41348
 35  -3.952902 0.32128  -1.901870 0.53880
 36  -3.951552 0.41657  -1.900520 0.62652
 37  -3.950202 0.53407  -1.899170 0.69768
 38  -3.948852 0.64524  -1.897820 0.75174
 39  -3.947502 0.72263  -1.896470 0.80466
 40  -3.946152 0.76966  -1.895120 0.83801
 41  -3.944802 0.82386  -1.893770 0.87974
 42  -3.943452 0.85653  -1.892420 0.90477
 43  -3.942102 0.89663  -1.891070 0.92787
 44  -3.940752 0.92033  -1.889720 0.96211
 45  -3.939402 0.94604  -1.888370 0.96337
 46  -3.938052 0.96471  -1.887020 0.98536
 47  -3.936702 0.97303  -1.885670 0.99015
 48  -3.935352 0.98682  -1.884320 0.99535
 49  -3.934002 0.99098  -1.882970 0.99616
 50  -3.932652 0.99595  -1.881620 1.00000
 51  -3.931302 1.00000  -1.880270 0.98970
 52  -3.929952 0.98763  -1.878920 0.98895
 53  -3.928602 0.97670  -1.877570 0.97659
 54  -3.927252 0.97651  -1.876220 0.98772
 55  -3.925902 0.95697  -1.874870 0.95267
 56  -3.924552 0.93631  -1.873520 0.92901
 57  -3.923202 0.90892  -1.872170 0.90744
 58  -3.921852 0.87976  -1.870820 0.88531
 59  -3.920502 0.83563  -1.869470 0.83862
 60  -3.919152 0.79718  -1.868120 0.80046
 61  -3.917802 0.74047  -1.866770 0.75399
 62  -3.916452 0.68219  -1.865420 0.68919
 63  -3.915102 0.58929  -1.864070 0.61486
 64  -3.913752 0.48202  -1.862720 0.53925
 65  -3.912402 0.38780  -1.861370 0.43859
 66  -3.911052 0.29107  -1.860020 0.33342
 67  -3.909702 0.20224  -1.858670 0.19567
 68  -3.908352 0.11862  -1.857320 0.06854
 69  -3.907002 0.05135  -1.855970 0.00637
 70  -3.905652 0.00887  -1.854620 0.00000
 71  -3.904302 0.00000  -1.853270 0.00000
 72  -3.902952 0.00000  -1.851920 0.00000
 73  -3.901602 0.00000  -1.850570 0.00000
 74  -3.900252 0.00000  -1.849220 0.00000
 75  -3.898902 0.00000  -1.847870 0.00000
 76  -3.897552 0.00000  -1.846520 0.00000
 77  -3.896202 0.00000  -1.845170 0.00000
 78  -3.894852 0.00000  -1.843820 0.00000
 79  -3.893502 0.00000  -1.842470 0.00000
 80  -3.892152 0.00000  -1.841120 0.00000
 81  -3.890802 0.00000  -1.839770 0.00000
 82  -3.889452 0.00000  -1.838420 0.00000
 83  -3.888102 0.00000  -1.837070 0.00000
 84  -3.886752 0.00000  -1.835720 0.00000
 85  -3.885402 0.00000  -1.834370 0.00000
 86  -3.884052 0.00000  -1.833020 0.00000
 87  -3.882702 0.00000  -1.831670 0.00000
 88  -3.881352 0.00000  -1.830320 0.00000
 89  -3.880002 0.00000  -1.828970 0.00000
 90  -3.878652 0.00000  -1.827620 0.00000
 91  -3.877302 0.00000  -1.826270 0.00000
 92  -3.875952 0.00000  -1.824920 0.00000
 93  -3.874602 0.00000  -1.823570 0.00000
 94  -3.873252 0.00000  -1.822220 0.00000
 95  -3.871902 0.00000  -1.820870 0.00000
 96  -3.870552 0.00000  -1.819520 0.00000
 97  -3.869202 0.00000  -1.818170 0.00000
 98  -3.867852 0.00000  -1.816820 0.00000
 99  -3.866502 0.00000  -1.815470 0.00000
100  -3.865152 0.00000  -1.814120 0.00000
