  1 -12.050813 0.00000  11.492649 0.00000
  2 -12.049463 0.00000  11.493999 0.00000
  3 -12.048113 0.00000  11.495349 0.00000
  4 -12.046763 0.00000  11.496699 0.00000
  5 -12.045413 0.00000  11.498049 0.00000
  6 -12.044063 0.00000  11.499399 0.00000
  7 -12.042713 0.00000  11.500749 0.00000
  8 -12.041363 0.00000  11.502099 0.00000
  9 -12.040013 0.00000  11.503449 0.00000
 10 -12.038663 0.00000  11.504799 0.00000
 11 -12.037313 0.00000  11.506149 0.00000
 12 -12.035963 0.00000  11.507499 0.00000
 13 -12.034613 0.00000  11.508849 0.00000
 14 -12.033263 0.00000  11.510199 0.00000
 15 -12.031913 0.00000  11.511549 0.00000
 16 -12.030563 0.00000  11.512899 0.00000
 17 -12.029213 0.00000  11.514249 0.00000
 18 -12.027863 0.00000  11.515599 0.00000
 19 -12.026513 0.00000  11.516949 0.00000
 20 -12.025163 0.00000  11.518299 0.00000
 21 -12.023813 0.00000  11.519649 0.00000
 22 -12.022463 0.00000  11.520999 0.00000
 23 -12.021113 0.00000  11.522349 0.00000
 24 -12.019763 0.00000  11.523699 0.00000
 25 -12.018413 0.00000  11.525049 0.00008
 26 -12.017063 0.00000  11.526399 0.01371
 27 -12.015713 0.00000  11.527749 0.05760
 28 -12.014363 0.00007  11.529099 0.11951
 29 -12.013013 0.00151  11.530449 0.19328
 30 -12.011663 0.00626  11.531799 0.26529
 31 -12.010313 0.01590  11.533149 0.34105
 32 -12.008963 0.02989  11.534499 0.43967
 33 -12.007613 0.05372  11.535849 0.51959
 34 -12.006263 0.08325  11.537199 0.60495
 35 -12.004913 0.16647  11.538549 0.68601
 36 -12.003563 0.28101  11.539899 0.76489
 37 -12.002213 0.39365  11.541249 0.82107
 38 -12.000863 0.50140  11.542599 0.86290
 39 -11.999513 0.61765  11.543949 0.88800
 40 -11.998163 0.70628  11.545299 0.92578
 41 -11.996813 0.76663  11.546649 0.94142
 42 -11.995463 0.81655  11.547999 0.96786
 43 -11.994113 0.86258  11.549349 0.97780
 44 -11.992763 0.90219  11.550699 0.98679
 45 -11.991413 0.92390  11.552049 0.98861
 46 -11.990063 0.95125  11.553399 0.99682
 47 -11.988713 0.95710  11.554749 0.99469
 48 -11.987363 0.99043  11.556099 1.00000
 49 -11.986013 0.98635  11.557449 0.99631
 50 -11.984663 0.99762  11.558799 0.98810
 51 -11.983313 1.00000  11.560149 0.96705
 52 -11.981963 0.99070  11.561499 0.96526
 53 -11.980613 0.97609  11.562849 0.95169
 54 -11.979263 0.97540  11.564199 0.91308
 55 -11.977913 0.96007  11.565549 0.88409
 56 -11.976563 0.94432  11.566899 0.85206
 57 -11.975213 0.91334  11.568249 0.81361
 58 -11.973863 0.87171  11.569599 0.76344
 59 -11.972513 0.83532  11.570949 0.70522
 60 -11.971163 0.78676  11.572299 0.60528
 61 -11.969813 0.72955  11.573649 0.50806
 62 -11.968463 0.65463  11.574999 0.41214
 63 -11.967113 0.56612  11.576349 0.32240
 64 -11.965763 0.47099  11.577699 0.25443
 65 -11.964413 0.35244  11.579049 0.18580
 66 -11.963063 0.23735  11.580399 0.12018
 67 -11.961713 0.14589  11.581749 0.07171
 68 -11.960363 0.07247  11.583099 0.03585
 69 -11.959013 0.01763  11.584449 0.01058
 70 -11.957663 0.00000  11.585799 0.00047
 71 -11.956313 0.00000  11.587149 0.00000
 72 -11.954963 0.00000  11.588499 0.00000
 73 -11.953613 0.00000  11.589849 0.00000
 74 -11.952263 0.00000  11.591199 0.00000
 75 -11.950913 0.00000  11.592549 0.00000
 76 -11.949563 0.00000  11.593899 0.00000
 77 -11.948213 0.00000  11.595249 0.00000
 78 -11.946863 0.00000  11.596599 0.00000
 79 -11.945513 0.00000  11.597949 0.00000
 80 -11.944163 0.00000  11.599299 0.00000
 81 -11.942813 0.00000  11.600649 0.00000
 82 -11.941463 0.00000  11.601999 0.00000
 83 -11.940113 0.00000  11.603349 0.00000
 84 -11.938763 0.00000  11.604699 0.00000
 85 -11.937413 0.00000  11.606049 0.00000
 86 -11.936063 0.00000  11.607399 0.00000
 87 -11.934713 0.00000  11.608749 0.00000
 88 -11.933363 0.00000  11.610099 0.00000
 89 -11.932013 0.00000  11.611449 0.00000
 90 -11.930663 0.00000  11.612799 0.00000
 91 -11.929313 0.00000  11.614149 0.00000
 92 -11.927963 0.00000  11.615499 0.00000
 93 -11.926613 0.00000  11.616849 0.00000
 94 -11.925263 0.00000  11.618199 0.00000
 95 -11.923913 0.00000  11.619549 0.00000
 96 -11.922563 0.00000  11.620899 0.00000
 97 -11.921213 0.00000  11.622249 0.00000
 98 -11.919863 0.00000  11.623599 0.00000
 99 -11.918513 0.00000  11.624949 0.00000
100 -11.917163 0.00000  11.626299 0.00000
