  1 -13.499692 0.00000   5.751062 0.00000
  2 -13.498342 0.00000   5.752412 0.00000
  3 -13.496992 0.00000   5.753762 0.00000
  4 -13.495642 0.00000   5.755112 0.00000
  5 -13.494292 0.00000   5.756462 0.00000
  6 -13.492942 0.00000   5.757812 0.00000
  7 -13.491592 0.00000   5.759162 0.00000
  8 -13.490242 0.00000   5.760512 0.00000
  9 -13.488892 0.00000   5.761862 0.00000
 10 -13.487542 0.00000   5.763212 0.00000
 11 -13.486192 0.00000   5.764562 0.00000
 12 -13.484842 0.00000   5.765912 0.00000
 13 -13.483492 0.00000   5.767262 0.00000
 14 -13.482142 0.00000   5.768612 0.00000
 15 -13.480792 0.00000   5.769962 0.00000
 16 -13.479442 0.00000   5.771312 0.00000
 17 -13.478092 0.00000   5.772662 0.00000
 18 -13.476742 0.00000   5.774012 0.00000
 19 -13.475392 0.00000   5.775362 0.00000
 20 -13.474042 0.00000   5.776712 0.00000
 21 -13.472692 0.00000   5.778062 0.00000
 22 -13.471342 0.00000   5.779412 0.00000
 23 -13.469992 0.00000   5.780762 0.00000
 24 -13.468642 0.00000   5.782112 0.00003
 25 -13.467292 0.00000   5.783462 0.00332
 26 -13.465942 0.00020   5.784812 0.01807
 27 -13.464592 0.00128   5.786162 0.04545
 28 -13.463242 0.00283   5.787512 0.08176
 29 -13.461892 0.00536   5.788862 0.12527
 30 -13.460542 0.00892   5.790212 0.17616
 31 -13.459192 0.01585   5.791562 0.23960
 32 -13.457842 0.02716   5.792912 0.31543
 33 -13.456492 0.05048   5.794262 0.40057
 34 -13.455142 0.11458   5.795612 0.49622
 35 -13.453792 0.20414   5.796962 0.58388
 36 -13.452442 0.31621   5.798312 0.67521
 37 -13.451092 0.43885   5.799662 0.74537
 38 -13.449742 0.53819   5.801012 0.79749
 39 -13.448392 0.63026   5.802362 0.84390
 40 -13.447042 0.71571   5.803712 0.88021
 41 -13.445692 0.78261   5.805062 0.90756
 42 -13.444342 0.83101   5.806412 0.93571
 43 -13.442992 0.87262   5.807762 0.94891
 44 -13.441642 0.90469   5.809112 0.97797
 45 -13.440292 0.93273   5.810462 0.97636
 46 -13.438942 0.96431   5.811812 0.98815
 47 -13.437592 0.97235   5.813162 0.99953
 48 -13.436242 0.98115   5.814512 0.99867
 49 -13.434892 1.00000   5.815862 1.00000
 50 -13.433542 0.99865   5.817212 0.98970
 51 -13.432192 0.99336   5.818562 0.98458
 52 -13.430842 0.99127   5.819912 0.97030
 53 -13.429492 0.98830   5.821262 0.95635
 54 -13.428142 0.97911   5.822612 0.93853
 55 -13.426792 0.95048   5.823962 0.90531
 56 -13.425442 0.93192   5.825312 0.88630
 57 -13.424092 0.91056   5.826662 0.85021
 58 -13.422742 0.86881   5.828012 0.80178
 59 -13.421392 0.82240   5.829362 0.74501
 60 -13.420042 0.77527   5.830712 0.68105
 61 -13.418692 0.70146   5.832062 0.60604
 62 -13.417342 0.63134   5.833412 0.53129
 63 -13.415992 0.54247   5.834762 0.46320
 64 -13.414642 0.42192   5.836112 0.37500
 65 -13.413292 0.31862   5.837462 0.29559
 66 -13.411942 0.20347   5.838812 0.21588
 67 -13.410592 0.11726   5.840162 0.14132
 68 -13.409242 0.05754   5.841512 0.07821
 69 -13.407892 0.01475   5.842862 0.03792
 70 -13.406542 0.00000   5.844212 0.00958
 71 -13.405192 0.00000   5.845562 0.00036
 72 -13.403842 0.00000   5.846912 0.00000
 73 -13.402492 0.00000   5.848262 0.00000
 74 -13.401142 0.00000   5.849612 0.00000
 75 -13.399792 0.00000   5.850962 0.00000
 76 -13.398442 0.00000   5.852312 0.00000
 77 -13.397092 0.00000   5.853662 0.00000
 78 -13.395742 0.00000   5.855012 0.00000
 79 -13.394392 0.00000   5.856362 0.00000
 80 -13.393042 0.00000   5.857712 0.00000
 81 -13.391692 0.00000   5.859062 0.00000
 82 -13.390342 0.00000   5.860412 0.00000
 83 -13.388992 0.00000   5.861762 0.00000
 84 -13.387642 0.00000   5.863112 0.00000
 85 -13.386292 0.00000   5.864462 0.00000
 86 -13.384942 0.00000   5.865812 0.00000
 87 -13.383592 0.00000   5.867162 0.00000
 88 -13.382242 0.00000   5.868512 0.00000
 89 -13.380892 0.00000   5.869862 0.00000
 90 -13.379542 0.00000   5.871212 0.00000
 91 -13.378192 0.00000   5.872562 0.00000
 92 -13.376842 0.00000   5.873912 0.00000
 93 -13.375492 0.00000   5.875262 0.00000
 94 -13.374142 0.00000   5.876612 0.00000
 95 -13.372792 0.00000   5.877962 0.00000
 96 -13.371442 0.00000   5.879312 0.00000
 97 -13.370092 0.00000   5.880662 0.00000
 98 -13.368742 0.00000   5.882012 0.00000
 99 -13.367392 0.00000   5.883362 0.00000
100 -13.366042 0.00000   5.884712 0.00000
