  1 -13.495955 0.00000  -6.060034 0.00000
  2 -13.494605 0.00000  -6.058684 0.00000
  3 -13.493255 0.00000  -6.057334 0.00000
  4 -13.491905 0.00000  -6.055984 0.00000
  5 -13.490555 0.00000  -6.054634 0.00000
  6 -13.489205 0.00000  -6.053284 0.00000
  7 -13.487855 0.00000  -6.051934 0.00000
  8 -13.486505 0.00000  -6.050584 0.00000
  9 -13.485155 0.00000  -6.049234 0.00000
 10 -13.483805 0.00000  -6.047884 0.00000
 11 -13.482455 0.00000  -6.046534 0.00000
 12 -13.481105 0.00000  -6.045184 0.00000
 13 -13.479755 0.00000  -6.043834 0.00000
 14 -13.478405 0.00000  -6.042484 0.00000
 15 -13.477055 0.00000  -6.041134 0.00000
 16 -13.475705 0.00000  -6.039784 0.00000
 17 -13.474355 0.00000  -6.038434 0.00000
 18 -13.473005 0.00000  -6.037084 0.00000
 19 -13.471655 0.00000  -6.035734 0.00000
 20 -13.470305 0.00000  -6.034384 0.00000
 21 -13.468955 0.00000  -6.033034 0.00000
 22 -13.467605 0.00000  -6.031684 0.00000
 23 -13.466255 0.00000  -6.030334 0.00000
 24 -13.464905 0.00000  -6.028984 0.00000
 25 -13.463555 0.00012  -6.027634 0.00000
 26 -13.462205 0.00044  -6.026284 0.00000
 27 -13.460855 0.00171  -6.024934 0.00000
 28 -13.459505 0.00307  -6.023584 0.00000
 29 -13.458155 0.00500  -6.022234 0.00000
 30 -13.456805 0.00830  -6.020884 0.00137
 31 -13.455455 0.01298  -6.019534 0.03501
 32 -13.454105 0.01954  -6.018184 0.11081
 33 -13.452755 0.03816  -6.016834 0.20746
 34 -13.451405 0.07632  -6.015484 0.32594
 35 -13.450055 0.18649  -6.014134 0.46290
 36 -13.448705 0.32523  -6.012784 0.57054
 37 -13.447355 0.47735  -6.011434 0.63720
 38 -13.446005 0.59454  -6.010084 0.71481
 39 -13.444655 0.68458  -6.008734 0.76810
 40 -13.443305 0.75075  -6.007384 0.81844
 41 -13.441955 0.79872  -6.006034 0.84933
 42 -13.440605 0.84591  -6.004684 0.88269
 43 -13.439255 0.88698  -6.003334 0.91120
 44 -13.437905 0.91316  -6.001984 0.93559
 45 -13.436555 0.94347  -6.000634 0.95551
 46 -13.435205 0.95740  -5.999284 0.96807
 47 -13.433855 0.98141  -5.997934 0.96620
 48 -13.432505 0.98380  -5.996584 0.99033
 49 -13.431155 1.00000  -5.995234 1.00000
 50 -13.429805 0.99754  -5.993884 0.99271
 51 -13.428455 0.99012  -5.992534 0.99504
 52 -13.427105 0.99275  -5.991184 0.97940
 53 -13.425755 0.97987  -5.989834 0.98609
 54 -13.424405 0.96462  -5.988484 0.97878
 55 -13.423055 0.94376  -5.987134 0.95058
 56 -13.421705 0.92043  -5.985784 0.95229
 57 -13.420355 0.88654  -5.984434 0.92712
 58 -13.419005 0.85140  -5.983084 0.90685
 59 -13.417655 0.80665  -5.981734 0.87288
 60 -13.416305 0.74548  -5.980384 0.84227
 61 -13.414955 0.68838  -5.979034 0.79812
 62 -13.413605 0.61755  -5.977684 0.75681
 63 -13.412255 0.52351  -5.976334 0.69298
 64 -13.410905 0.41612  -5.974984 0.62217
 65 -13.409555 0.25547  -5.973634 0.52824
 66 -13.408205 0.13652  -5.972284 0.40320
 67 -13.406855 0.05009  -5.970934 0.28917
 68 -13.405505 0.00649  -5.969584 0.17805
 69 -13.404155 0.00000  -5.968234 0.07944
 70 -13.402805 0.00000  -5.966884 0.02478
 71 -13.401455 0.00000  -5.965534 0.00659
 72 -13.400105 0.00000  -5.964184 0.00311
 73 -13.398755 0.00000  -5.962834 0.00118
 74 -13.397405 0.00000  -5.961484 0.00025
 75 -13.396055 0.00000  -5.960134 0.00000
 76 -13.394705 0.00000  -5.958784 0.00000
 77 -13.393355 0.00000  -5.957434 0.00000
 78 -13.392005 0.00000  -5.956084 0.00000
 79 -13.390655 0.00000  -5.954734 0.00000
 80 -13.389305 0.00000  -5.953384 0.00000
 81 -13.387955 0.00000  -5.952034 0.00000
 82 -13.386605 0.00000  -5.950684 0.00000
 83 -13.385255 0.00000  -5.949334 0.00000
 84 -13.383905 0.00000  -5.947984 0.00000
 85 -13.382555 0.00000  -5.946634 0.00000
 86 -13.381205 0.00000  -5.945284 0.00000
 87 -13.379855 0.00000  -5.943934 0.00000
 88 -13.378505 0.00000  -5.942584 0.00000
 89 -13.377155 0.00000  -5.941234 0.00000
 90 -13.375805 0.00000  -5.939884 0.00000
 91 -13.374455 0.00000  -5.938534 0.00000
 92 -13.373105 0.00000  -5.937184 0.00000
 93 -13.371755 0.00000  -5.935834 0.00000
 94 -13.370405 0.00000  -5.934484 0.00000
 95 -13.369055 0.00000  -5.933134 0.00000
 96 -13.367705 0.00000  -5.931784 0.00000
 97 -13.366355 0.00000  -5.930434 0.00000
 98 -13.365005 0.00000  -5.929084 0.00000
 99 -13.363655 0.00000  -5.927734 0.00000
100 -13.362305 0.00000  -5.926384 0.00000
