  1 -10.577332 0.00000  11.563813 0.00000
  2 -10.575982 0.00000  11.565163 0.00000
  3 -10.574632 0.00000  11.566513 0.00000
  4 -10.573282 0.00000  11.567863 0.00000
  5 -10.571932 0.00000  11.569213 0.00000
  6 -10.570582 0.00000  11.570563 0.00000
  7 -10.569232 0.00000  11.571913 0.00000
  8 -10.567882 0.00000  11.573263 0.00000
  9 -10.566532 0.00000  11.574613 0.00000
 10 -10.565182 0.00000  11.575963 0.00000
 11 -10.563832 0.00000  11.577313 0.00000
 12 -10.562482 0.00000  11.578663 0.00000
 13 -10.561132 0.00000  11.580013 0.00000
 14 -10.559782 0.00000  11.581363 0.00000
 15 -10.558432 0.00000  11.582713 0.00000
 16 -10.557082 0.00000  11.584063 0.00000
 17 -10.555732 0.00000  11.585413 0.00000
 18 -10.554382 0.00000  11.586763 0.00000
 19 -10.553032 0.00000  11.588113 0.00000
 20 -10.551682 0.00000  11.589463 0.00000
 21 -10.550332 0.00000  11.590813 0.00000
 22 -10.548982 0.00000  11.592163 0.00000
 23 -10.547632 0.00000  11.593513 0.00000
 24 -10.546282 0.00000  11.594863 0.00072
 25 -10.544932 0.00000  11.596213 0.00556
 26 -10.543582 0.00000  11.597563 0.01492
 27 -10.542232 0.00000  11.598913 0.03017
 28 -10.540882 0.00012  11.600263 0.07260
 29 -10.539532 0.00262  11.601613 0.13866
 30 -10.538182 0.00874  11.602963 0.23034
 31 -10.536832 0.01845  11.604313 0.31955
 32 -10.535482 0.03463  11.605663 0.42321
 33 -10.534132 0.05497  11.607013 0.52300
 34 -10.532782 0.08840  11.608363 0.61002
 35 -10.531432 0.17498  11.609713 0.68081
 36 -10.530082 0.29559  11.611063 0.75701
 37 -10.528732 0.41386  11.612413 0.81827
 38 -10.527382 0.55316  11.613763 0.85859
 39 -10.526032 0.64821  11.615113 0.89270
 40 -10.524682 0.72905  11.616463 0.92507
 41 -10.523332 0.78582  11.617813 0.94605
 42 -10.521982 0.83046  11.619163 0.95902
 43 -10.520632 0.87285  11.620513 0.97283
 44 -10.519282 0.90069  11.621863 0.97894
 45 -10.517932 0.93786  11.623213 0.99386
 46 -10.516582 0.95983  11.624563 0.99611
 47 -10.515232 0.96662  11.625913 0.98944
 48 -10.513882 0.98262  11.627263 1.00000
 49 -10.512532 0.98265  11.628613 0.98705
 50 -10.511182 0.99371  11.629963 0.99280
 51 -10.509832 0.99186  11.631313 0.97986
 52 -10.508482 1.00000  11.632663 0.95552
 53 -10.507132 0.98852  11.634013 0.94349
 54 -10.505782 0.97426  11.635363 0.92413
 55 -10.504432 0.95371  11.636713 0.89654
 56 -10.503082 0.93674  11.638063 0.85647
 57 -10.501732 0.91140  11.639413 0.81902
 58 -10.500382 0.88336  11.640763 0.77830
 59 -10.499032 0.83947  11.642113 0.71701
 60 -10.497682 0.78672  11.643463 0.64011
 61 -10.496332 0.73110  11.644813 0.55070
 62 -10.494982 0.65945  11.646163 0.44932
 63 -10.493632 0.58430  11.647513 0.33647
 64 -10.492282 0.48201  11.648863 0.23584
 65 -10.490932 0.36335  11.650213 0.16422
 66 -10.489582 0.23730  11.651563 0.10071
 67 -10.488232 0.13192  11.652913 0.05387
 68 -10.486882 0.05522  11.654263 0.02114
 69 -10.485532 0.00372  11.655613 0.00267
 70 -10.484182 0.00000  11.656963 0.00000
 71 -10.482832 0.00000  11.658313 0.00000
 72 -10.481482 0.00000  11.659663 0.00000
 73 -10.480132 0.00000  11.661013 0.00000
 74 -10.478782 0.00000  11.662363 0.00000
 75 -10.477432 0.00000  11.663713 0.00000
 76 -10.476082 0.00000  11.665063 0.00000
 77 -10.474732 0.00000  11.666413 0.00000
 78 -10.473382 0.00000  11.667763 0.00000
 79 -10.472032 0.00000  11.669113 0.00000
 80 -10.470682 0.00000  11.670463 0.00000
 81 -10.469332 0.00000  11.671813 0.00000
 82 -10.467982 0.00000  11.673163 0.00000
 83 -10.466632 0.00000  11.674513 0.00000
 84 -10.465282 0.00000  11.675863 0.00000
 85 -10.463932 0.00000  11.677213 0.00000
 86 -10.462582 0.00000  11.678563 0.00000
 87 -10.461232 0.00000  11.679913 0.00000
 88 -10.459882 0.00000  11.681263 0.00000
 89 -10.458532 0.00000  11.682613 0.00000
 90 -10.457182 0.00000  11.683963 0.00000
 91 -10.455832 0.00000  11.685313 0.00000
 92 -10.454482 0.00000  11.686663 0.00000
 93 -10.453132 0.00000  11.688013 0.00000
 94 -10.451782 0.00000  11.689363 0.00000
 95 -10.450432 0.00000  11.690713 0.00000
 96 -10.449082 0.00000  11.692063 0.00000
 97 -10.447732 0.00000  11.693413 0.00000
 98 -10.446382 0.00000  11.694763 0.00000
 99 -10.445032 0.00000  11.696113 0.00000
100 -10.443682 0.00000  11.697463 0.00000
