  1 -11.550768 0.00000  -5.961726 0.00000
  2 -11.549418 0.00000  -5.960376 0.00000
  3 -11.548068 0.00000  -5.959026 0.00000
  4 -11.546718 0.00000  -5.957676 0.00000
  5 -11.545368 0.00000  -5.956326 0.00000
  6 -11.544018 0.00000  -5.954976 0.00000
  7 -11.542668 0.00000  -5.953626 0.00000
  8 -11.541318 0.00000  -5.952276 0.00000
  9 -11.539968 0.00000  -5.950926 0.00000
 10 -11.538618 0.00000  -5.949576 0.00000
 11 -11.537268 0.00000  -5.948226 0.00000
 12 -11.535918 0.00000  -5.946876 0.00000
 13 -11.534568 0.00000  -5.945526 0.00000
 14 -11.533218 0.00000  -5.944176 0.00000
 15 -11.531868 0.00000  -5.942826 0.00000
 16 -11.530518 0.00000  -5.941476 0.00000
 17 -11.529168 0.00000  -5.940126 0.00000
 18 -11.527818 0.00000  -5.938776 0.00000
 19 -11.526468 0.00000  -5.937426 0.00000
 20 -11.525118 0.00000  -5.936076 0.00000
 21 -11.523768 0.00000  -5.934726 0.00000
 22 -11.522418 0.00000  -5.933376 0.00000
 23 -11.521068 0.00000  -5.932026 0.00000
 24 -11.519718 0.00000  -5.930676 0.00000
 25 -11.518368 0.00000  -5.929326 0.00000
 26 -11.517018 0.00015  -5.927976 0.00000
 27 -11.515668 0.00057  -5.926626 0.00000
 28 -11.514318 0.00213  -5.925276 0.00000
 29 -11.512968 0.00374  -5.923926 0.00017
 30 -11.511618 0.00653  -5.922576 0.00193
 31 -11.510268 0.01146  -5.921226 0.01387
 32 -11.508918 0.01720  -5.919876 0.06591
 33 -11.507568 0.03747  -5.918526 0.19679
 34 -11.506218 0.08490  -5.917176 0.35022
 35 -11.504868 0.22509  -5.915826 0.48665
 36 -11.503518 0.39040  -5.914476 0.58501
 37 -11.502168 0.52393  -5.913126 0.65874
 38 -11.500818 0.63113  -5.911776 0.73063
 39 -11.499468 0.70011  -5.910426 0.77527
 40 -11.498118 0.76711  -5.909076 0.82048
 41 -11.496768 0.81917  -5.907726 0.85972
 42 -11.495418 0.86280  -5.906376 0.88307
 43 -11.494068 0.88360  -5.905026 0.91676
 44 -11.492718 0.93560  -5.903676 0.93503
 45 -11.491368 0.94765  -5.902326 0.95624
 46 -11.490018 0.96045  -5.900976 0.96420
 47 -11.488668 0.98032  -5.899626 0.97837
 48 -11.487318 0.99223  -5.898276 0.98713
 49 -11.485968 0.99965  -5.896926 0.98460
 50 -11.484618 0.99780  -5.895576 0.98736
 51 -11.483268 1.00000  -5.894226 0.98920
 52 -11.481918 0.98745  -5.892876 1.00000
 53 -11.480568 0.97901  -5.891526 0.96969
 54 -11.479218 0.96844  -5.890176 0.97279
 55 -11.477868 0.94829  -5.888826 0.96127
 56 -11.476518 0.92723  -5.887476 0.94983
 57 -11.475168 0.88654  -5.886126 0.92089
 58 -11.473818 0.85523  -5.884776 0.89499
 59 -11.472468 0.80976  -5.883426 0.87540
 60 -11.471118 0.74994  -5.882076 0.83650
 61 -11.469768 0.70160  -5.880726 0.80014
 62 -11.468418 0.62321  -5.879376 0.75008
 63 -11.467068 0.52903  -5.878026 0.68997
 64 -11.465718 0.42327  -5.876676 0.62325
 65 -11.464368 0.27442  -5.875326 0.53978
 66 -11.463018 0.12499  -5.873976 0.42419
 67 -11.461668 0.04205  -5.872626 0.26424
 68 -11.460318 0.00530  -5.871276 0.11905
 69 -11.458968 0.00000  -5.869926 0.03039
 70 -11.457618 0.00000  -5.868576 0.00382
 71 -11.456268 0.00000  -5.867226 0.00064
 72 -11.454918 0.00000  -5.865876 0.00003
 73 -11.453568 0.00000  -5.864526 0.00000
 74 -11.452218 0.00000  -5.863176 0.00000
 75 -11.450868 0.00000  -5.861826 0.00000
 76 -11.449518 0.00000  -5.860476 0.00000
 77 -11.448168 0.00000  -5.859126 0.00000
 78 -11.446818 0.00000  -5.857776 0.00000
 79 -11.445468 0.00000  -5.856426 0.00000
 80 -11.444118 0.00000  -5.855076 0.00000
 81 -11.442768 0.00000  -5.853726 0.00000
 82 -11.441418 0.00000  -5.852376 0.00000
 83 -11.440068 0.00000  -5.851026 0.00000
 84 -11.438718 0.00000  -5.849676 0.00000
 85 -11.437368 0.00000  -5.848326 0.00000
 86 -11.436018 0.00000  -5.846976 0.00000
 87 -11.434668 0.00000  -5.845626 0.00000
 88 -11.433318 0.00000  -5.844276 0.00000
 89 -11.431968 0.00000  -5.842926 0.00000
 90 -11.430618 0.00000  -5.841576 0.00000
 91 -11.429268 0.00000  -5.840226 0.00000
 92 -11.427918 0.00000  -5.838876 0.00000
 93 -11.426568 0.00000  -5.837526 0.00000
 94 -11.425218 0.00000  -5.836176 0.00000
 95 -11.423868 0.00000  -5.834826 0.00000
 96 -11.422518 0.00000  -5.833476 0.00000
 97 -11.421168 0.00000  -5.832126 0.00000
 98 -11.419818 0.00000  -5.830776 0.00000
 99 -11.418468 0.00000  -5.829426 0.00000
100 -11.417118 0.00000  -5.828076 0.00000
