  1   4.024716 0.00000  13.312583 0.00000
  2   4.026066 0.00000  13.313933 0.00000
  3   4.027416 0.00000  13.315283 0.00000
  4   4.028766 0.00000  13.316633 0.00000
  5   4.030116 0.00000  13.317983 0.00000
  6   4.031466 0.00000  13.319333 0.00000
  7   4.032816 0.00000  13.320683 0.00000
  8   4.034166 0.00000  13.322033 0.00000
  9   4.035516 0.00000  13.323383 0.00000
 10   4.036866 0.00000  13.324733 0.00000
 11   4.038216 0.00000  13.326083 0.00000
 12   4.039566 0.00000  13.327433 0.00000
 13   4.040916 0.00000  13.328783 0.00000
 14   4.042266 0.00000  13.330133 0.00000
 15   4.043616 0.00000  13.331483 0.00000
 16   4.044966 0.00000  13.332833 0.00000
 17   4.046316 0.00000  13.334183 0.00037
 18   4.047666 0.00000  13.335533 0.00287
 19   4.049016 0.00000  13.336883 0.00828
 20   4.050366 0.00000  13.338233 0.01524
 21   4.051716 0.00000  13.339583 0.02460
 22   4.053066 0.00000  13.340933 0.03427
 23   4.054416 0.00000  13.342283 0.04826
 24   4.055766 0.00000  13.343633 0.06126
 25   4.057116 0.00000  13.344983 0.07534
 26   4.058466 0.00000  13.346333 0.09363
 27   4.059816 0.00000  13.347683 0.11663
 28   4.061166 0.00028  13.349033 0.13762
 29   4.062516 0.00390  13.350383 0.16544
 30   4.063866 0.01580  13.351733 0.19223
 31   4.065216 0.03149  13.353083 0.23003
 32   4.066566 0.06668  13.354433 0.31862
 33   4.067916 0.17104  13.355783 0.43338
 34   4.069266 0.29444  13.357133 0.56221
 35   4.070616 0.41651  13.358483 0.67245
 36   4.071966 0.51199  13.359833 0.74742
 37   4.073316 0.59121  13.361183 0.79889
 38   4.074666 0.66796  13.362533 0.85060
 39   4.076016 0.73411  13.363883 0.88666
 40   4.077366 0.78469  13.365233 0.91809
 41   4.078716 0.83247  13.366583 0.94451
 42   4.080066 0.86324  13.367933 0.96325
 43   4.081416 0.88902  13.369283 0.97568
 44   4.082766 0.91196  13.370633 1.00000
 45   4.084116 0.93764  13.371983 0.99041
 46   4.085466 0.95438  13.373333 0.99306
 47   4.086816 0.97208  13.374683 0.99983
 48   4.088166 0.97407  13.376033 0.99138
 49   4.089516 0.98440  13.377383 0.98330
 50   4.090866 0.98663  13.378733 0.97622
 51   4.092216 1.00000  13.380083 0.96880
 52   4.093566 0.98835  13.381433 0.94707
 53   4.094916 0.97529  13.382783 0.93558
 54   4.096266 0.97399  13.384133 0.89827
 55   4.097616 0.95659  13.385483 0.87301
 56   4.098966 0.94145  13.386833 0.84500
 57   4.100316 0.92300  13.388183 0.79571
 58   4.101666 0.89979  13.389533 0.77543
 59   4.103016 0.85768  13.390883 0.70365
 60   4.104366 0.83161  13.392233 0.66187
 61   4.105716 0.79631  13.393583 0.60544
 62   4.107066 0.74451  13.394933 0.53309
 63   4.108416 0.68946  13.396283 0.46034
 64   4.109766 0.60272  13.397633 0.37963
 65   4.111116 0.51985  13.398983 0.27547
 66   4.112466 0.40461  13.400333 0.15728
 67   4.113816 0.27386  13.401683 0.05759
 68   4.115166 0.14808  13.403033 0.00711
 69   4.116516 0.08480  13.404383 0.00009
 70   4.117866 0.05653  13.405733 0.00000
 71   4.119216 0.03608  13.407083 0.00000
 72   4.120566 0.01884  13.408433 0.00000
 73   4.121916 0.00808  13.409783 0.00000
 74   4.123266 0.00177  13.411133 0.00000
 75   4.124616 0.00000  13.412483 0.00000
 76   4.125966 0.00000  13.413833 0.00000
 77   4.127316 0.00000  13.415183 0.00000
 78   4.128666 0.00000  13.416533 0.00000
 79   4.130016 0.00000  13.417883 0.00000
 80   4.131366 0.00000  13.419233 0.00000
 81   4.132716 0.00000  13.420583 0.00000
 82   4.134066 0.00000  13.421933 0.00000
 83   4.135416 0.00000  13.423283 0.00000
 84   4.136766 0.00000  13.424633 0.00000
 85   4.138116 0.00000  13.425983 0.00000
 86   4.139466 0.00000  13.427333 0.00000
 87   4.140816 0.00000  13.428683 0.00000
 88   4.142166 0.00000  13.430033 0.00000
 89   4.143516 0.00000  13.431383 0.00000
 90   4.144866 0.00000  13.432733 0.00000
 91   4.146216 0.00000  13.434083 0.00000
 92   4.147566 0.00000  13.435433 0.00000
 93   4.148916 0.00000  13.436783 0.00000
 94   4.150266 0.00000  13.438133 0.00000
 95   4.151616 0.00000  13.439483 0.00000
 96   4.152966 0.00000  13.440833 0.00000
 97   4.154316 0.00000  13.442183 0.00000
 98   4.155666 0.00000  13.443533 0.00000
 99   4.157016 0.00000  13.444883 0.00000
100   4.158366 0.00000  13.446233 0.00000
