  1 -13.011840 0.00000  -5.132546 0.00000
  2 -13.010490 0.00000  -5.131196 0.00000
  3 -13.009140 0.00000  -5.129846 0.00000
  4 -13.007790 0.00000  -5.128496 0.00000
  5 -13.006440 0.00000  -5.127146 0.00000
  6 -13.005090 0.00000  -5.125796 0.00000
  7 -13.003740 0.00000  -5.124446 0.00000
  8 -13.002390 0.00000  -5.123096 0.00000
  9 -13.001040 0.00000  -5.121746 0.00000
 10 -12.999690 0.00000  -5.120396 0.00000
 11 -12.998340 0.00000  -5.119046 0.00000
 12 -12.996990 0.00000  -5.117696 0.00000
 13 -12.995640 0.00000  -5.116346 0.00000
 14 -12.994290 0.00000  -5.114996 0.00000
 15 -12.992940 0.00000  -5.113646 0.00000
 16 -12.991590 0.00000  -5.112296 0.00000
 17 -12.990240 0.00000  -5.110946 0.00000
 18 -12.988890 0.00000  -5.109596 0.00000
 19 -12.987540 0.00000  -5.108246 0.00000
 20 -12.986190 0.00000  -5.106896 0.00000
 21 -12.984840 0.00000  -5.105546 0.00000
 22 -12.983490 0.00000  -5.104196 0.00000
 23 -12.982140 0.00000  -5.102846 0.00000
 24 -12.980790 0.00000  -5.101496 0.00000
 25 -12.979440 0.00017  -5.100146 0.00000
 26 -12.978090 0.00068  -5.098796 0.00000
 27 -12.976740 0.00176  -5.097446 0.00000
 28 -12.975390 0.00322  -5.096096 0.00000
 29 -12.974040 0.00581  -5.094746 0.00000
 30 -12.972690 0.00944  -5.093396 0.00219
 31 -12.971340 0.01381  -5.092046 0.04020
 32 -12.969990 0.02139  -5.090696 0.12573
 33 -12.968640 0.03779  -5.089346 0.21688
 34 -12.967290 0.08184  -5.087996 0.35275
 35 -12.965940 0.19698  -5.086646 0.48370
 36 -12.964590 0.34491  -5.085296 0.58488
 37 -12.963240 0.48506  -5.083946 0.66199
 38 -12.961890 0.60874  -5.082596 0.72369
 39 -12.960540 0.68419  -5.081246 0.77323
 40 -12.959190 0.75042  -5.079896 0.82079
 41 -12.957840 0.79599  -5.078546 0.87264
 42 -12.956490 0.85171  -5.077196 0.89712
 43 -12.955140 0.88496  -5.075846 0.91721
 44 -12.953790 0.91762  -5.074496 0.93791
 45 -12.952440 0.93179  -5.073146 0.95896
 46 -12.951090 0.96539  -5.071796 0.96985
 47 -12.949740 0.97395  -5.070446 0.98824
 48 -12.948390 0.97551  -5.069096 0.99323
 49 -12.947040 0.99795  -5.067746 0.99677
 50 -12.945690 1.00000  -5.066396 0.99082
 51 -12.944340 0.98883  -5.065046 1.00000
 52 -12.942990 0.98524  -5.063696 0.99509
 53 -12.941640 0.97470  -5.062346 0.98557
 54 -12.940290 0.95621  -5.060996 0.97791
 55 -12.938940 0.94480  -5.059646 0.96126
 56 -12.937590 0.92025  -5.058296 0.94936
 57 -12.936240 0.88920  -5.056946 0.92449
 58 -12.934890 0.83656  -5.055596 0.90512
 59 -12.933540 0.80080  -5.054246 0.87429
 60 -12.932190 0.74886  -5.052896 0.84067
 61 -12.930840 0.69122  -5.051546 0.79072
 62 -12.929490 0.60898  -5.050196 0.74575
 63 -12.928140 0.52465  -5.048846 0.68108
 64 -12.926790 0.41090  -5.047496 0.59888
 65 -12.925440 0.26075  -5.046146 0.51276
 66 -12.924090 0.13007  -5.044796 0.38192
 67 -12.922740 0.04955  -5.043446 0.26132
 68 -12.921390 0.01022  -5.042096 0.15204
 69 -12.920040 0.00000  -5.040746 0.05951
 70 -12.918690 0.00000  -5.039396 0.01763
 71 -12.917340 0.00000  -5.038046 0.00491
 72 -12.915990 0.00000  -5.036696 0.00222
 73 -12.914640 0.00000  -5.035346 0.00056
 74 -12.913290 0.00000  -5.033996 0.00003
 75 -12.911940 0.00000  -5.032646 0.00000
 76 -12.910590 0.00000  -5.031296 0.00000
 77 -12.909240 0.00000  -5.029946 0.00000
 78 -12.907890 0.00000  -5.028596 0.00000
 79 -12.906540 0.00000  -5.027246 0.00000
 80 -12.905190 0.00000  -5.025896 0.00000
 81 -12.903840 0.00000  -5.024546 0.00000
 82 -12.902490 0.00000  -5.023196 0.00000
 83 -12.901140 0.00000  -5.021846 0.00000
 84 -12.899790 0.00000  -5.020496 0.00000
 85 -12.898440 0.00000  -5.019146 0.00000
 86 -12.897090 0.00000  -5.017796 0.00000
 87 -12.895740 0.00000  -5.016446 0.00000
 88 -12.894390 0.00000  -5.015096 0.00000
 89 -12.893040 0.00000  -5.013746 0.00000
 90 -12.891690 0.00000  -5.012396 0.00000
 91 -12.890340 0.00000  -5.011046 0.00000
 92 -12.888990 0.00000  -5.009696 0.00000
 93 -12.887640 0.00000  -5.008346 0.00000
 94 -12.886290 0.00000  -5.006996 0.00000
 95 -12.884940 0.00000  -5.005646 0.00000
 96 -12.883590 0.00000  -5.004296 0.00000
 97 -12.882240 0.00000  -5.002946 0.00000
 98 -12.880890 0.00000  -5.001596 0.00000
 99 -12.879540 0.00000  -5.000246 0.00000
100 -12.878190 0.00000  -4.998896 0.00000
