  1 -12.039349 0.00000  -0.361759 0.00000
  2 -12.037999 0.00000  -0.360409 0.00000
  3 -12.036649 0.00000  -0.359059 0.00000
  4 -12.035299 0.00000  -0.357709 0.00000
  5 -12.033949 0.00000  -0.356359 0.00000
  6 -12.032599 0.00000  -0.355009 0.00000
  7 -12.031249 0.00000  -0.353659 0.00000
  8 -12.029899 0.00000  -0.352309 0.00000
  9 -12.028549 0.00000  -0.350959 0.00000
 10 -12.027199 0.00000  -0.349609 0.00000
 11 -12.025849 0.00000  -0.348259 0.00000
 12 -12.024499 0.00000  -0.346909 0.00000
 13 -12.023149 0.00000  -0.345559 0.00000
 14 -12.021799 0.00000  -0.344209 0.00000
 15 -12.020449 0.00000  -0.342859 0.00000
 16 -12.019099 0.00000  -0.341509 0.00000
 17 -12.017749 0.00000  -0.340159 0.00000
 18 -12.016399 0.00000  -0.338809 0.00000
 19 -12.015049 0.00000  -0.337459 0.00000
 20 -12.013699 0.00000  -0.336109 0.00000
 21 -12.012349 0.00000  -0.334759 0.00000
 22 -12.010999 0.00000  -0.333409 0.00000
 23 -12.009649 0.00000  -0.332059 0.00000
 24 -12.008299 0.00000  -0.330709 0.00000
 25 -12.006949 0.00020  -0.329359 0.00000
 26 -12.005599 0.00103  -0.328009 0.00000
 27 -12.004249 0.00261  -0.326659 0.00000
 28 -12.002899 0.00409  -0.325309 0.00130
 29 -12.001549 0.00729  -0.323959 0.01770
 30 -12.000199 0.01201  -0.322609 0.06540
 31 -11.998849 0.01874  -0.321259 0.12299
 32 -11.997499 0.03124  -0.319909 0.19745
 33 -11.996149 0.05697  -0.318559 0.30483
 34 -11.994799 0.13612  -0.317209 0.42058
 35 -11.993449 0.23701  -0.315859 0.53501
 36 -11.992099 0.36532  -0.314509 0.62317
 37 -11.990749 0.48563  -0.313159 0.69070
 38 -11.989399 0.60674  -0.311809 0.74756
 39 -11.988049 0.67976  -0.310459 0.80073
 40 -11.986699 0.75140  -0.309109 0.84020
 41 -11.985349 0.80608  -0.307759 0.86978
 42 -11.983999 0.84810  -0.306409 0.91005
 43 -11.982649 0.88636  -0.305059 0.93617
 44 -11.981299 0.91066  -0.303709 0.94369
 45 -11.979949 0.94645  -0.302359 0.96213
 46 -11.978599 0.95847  -0.301009 0.97685
 47 -11.977249 0.97363  -0.299659 0.98373
 48 -11.975899 0.98700  -0.298309 0.99108
 49 -11.974549 0.99527  -0.296959 1.00000
 50 -11.973199 0.98501  -0.295609 0.99677
 51 -11.971849 1.00000  -0.294259 0.98829
 52 -11.970499 0.98823  -0.292909 0.98431
 53 -11.969149 0.96512  -0.291559 0.96636
 54 -11.967799 0.96955  -0.290209 0.96031
 55 -11.966449 0.93828  -0.288859 0.94043
 56 -11.965099 0.91723  -0.287509 0.92250
 57 -11.963749 0.87934  -0.286159 0.89668
 58 -11.962399 0.85228  -0.284809 0.86491
 59 -11.961049 0.79997  -0.283459 0.83188
 60 -11.959699 0.74972  -0.282109 0.78181
 61 -11.958349 0.68451  -0.280759 0.73894
 62 -11.956999 0.61484  -0.279409 0.67015
 63 -11.955649 0.51976  -0.278059 0.58914
 64 -11.954299 0.40432  -0.276709 0.48234
 65 -11.952949 0.28580  -0.275359 0.38388
 66 -11.951599 0.17475  -0.274009 0.28376
 67 -11.950249 0.08393  -0.272659 0.18350
 68 -11.948899 0.03442  -0.271309 0.09515
 69 -11.947549 0.00423  -0.269959 0.03969
 70 -11.946199 0.00000  -0.268609 0.00881
 71 -11.944849 0.00000  -0.267259 0.00141
 72 -11.943499 0.00000  -0.265909 0.00003
 73 -11.942149 0.00000  -0.264559 0.00000
 74 -11.940799 0.00000  -0.263209 0.00000
 75 -11.939449 0.00000  -0.261859 0.00000
 76 -11.938099 0.00000  -0.260509 0.00000
 77 -11.936749 0.00000  -0.259159 0.00000
 78 -11.935399 0.00000  -0.257809 0.00000
 79 -11.934049 0.00000  -0.256459 0.00000
 80 -11.932699 0.00000  -0.255109 0.00000
 81 -11.931349 0.00000  -0.253759 0.00000
 82 -11.929999 0.00000  -0.252409 0.00000
 83 -11.928649 0.00000  -0.251059 0.00000
 84 -11.927299 0.00000  -0.249709 0.00000
 85 -11.925949 0.00000  -0.248359 0.00000
 86 -11.924599 0.00000  -0.247009 0.00000
 87 -11.923249 0.00000  -0.245659 0.00000
 88 -11.921899 0.00000  -0.244309 0.00000
 89 -11.920549 0.00000  -0.242959 0.00000
 90 -11.919199 0.00000  -0.241609 0.00000
 91 -11.917849 0.00000  -0.240259 0.00000
 92 -11.916499 0.00000  -0.238909 0.00000
 93 -11.915149 0.00000  -0.237559 0.00000
 94 -11.913799 0.00000  -0.236209 0.00000
 95 -11.912449 0.00000  -0.234859 0.00000
 96 -11.911099 0.00000  -0.233509 0.00000
 97 -11.909749 0.00000  -0.232159 0.00000
 98 -11.908399 0.00000  -0.230809 0.00000
 99 -11.907049 0.00000  -0.229459 0.00000
100 -11.905699 0.00000  -0.228109 0.00000
